,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Real,SuRF Base,FST
0,555952,0.0,,,,,,
1,539460,0.0196875,,,,,,
2,510084,0.0508081,,,,,,
3,384333,0.241459,,,,,,
4,326543,0.317788,,,,,,
5,250363,0.433961,,,,,,
6,235148,0.452153,,,,,,
7,232098,0.455288,,,,,,
8,231753,0.455511,,,,,,
9,231337,0.455511,,,,,,
10,231337,0.455511,,,,,,
0,231337,,0.455511,,,,,
1,231337,,0.455511,,,,,
2,231719,,0.454897,,,,,
3,233195,,0.452678,,,,,
4,236881,,0.448104,,,,,
5,256108,,0.41579,,,,,
6,286972,,0.368261,,,,,
7,329603,,0.306946,,,,,
8,377670,,0.243143,,,,,
9,442465,,0.147606,,,,,
10,492520,,0.0784933,,,,,
11,526370,,0.0349132,,,,,
12,543219,,0.0147015,,,,,
13,551762,,0.00441713,,,,,
14,554735,,0.0010262,,,,,
0,68373,,,0.826382,,,,
1,86958,,,0.70712,,,,
2,105552,,,0.592776,,,,
3,124142,,,0.507434,,,,
4,142733,,,0.436158,,,,
5,161322,,,0.382985,,,,
6,179914,,,0.341368,,,,
7,198504,,,0.305473,,,,
8,217095,,,0.277889,,,,
9,235685,,,0.254665,,,,
0,46754,,,,0.673936,,,
1,93431,,,,0.428729,,,
2,140112,,,,0.274821,,,
3,186788,,,,0.180288,,,
4,233462,,,,0.120099,,,
5,280144,,,,0.076664,,,
6,326820,,,,0.0512989,,,
7,373498,,,,0.0336081,,,
8,420176,,,,0.0217845,,,
9,466851,,,,0.0146345,,,
0,454679,,,,,0.0997981,,
1,467191,,,,,0.0997981,,
2,479687,,,,,0.0969761,,
3,492183,,,,,0.0969761,,
4,504687,,,,,0.0910865,,
5,517183,,,,,0.088376,,
6,529687,,,,,0.0867475,,
7,542191,,,,,0.0858217,,
8,554687,,,,,0.0853867,,
0,454679,,,,,,0.0997981,
0,555967,,,,,,,0.0
