,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Real,SuRF Base,FST
0,555952,0.0,,,,,,
1,539460,0.0,,,,,,
2,510084,0.0,,,,,,
3,384333,0.0,,,,,,
4,326543,1.00002e-05,,,,,,
5,250363,3.00006e-05,,,,,,
6,235148,0.000150003,,,,,,
7,232098,0.00117002,,,,,,
8,231753,0.0052401,,,,,,
9,231337,0.048301,,,,,,
10,231337,0.048301,,,,,,
0,231337,,0.048301,,,,,
1,231337,,0.048301,,,,,
2,231719,,0.048301,,,,,
3,233195,,0.048301,,,,,
4,236881,,0.048301,,,,,
5,256108,,0.048291,,,,,
6,286972,,0.048231,,,,,
7,329603,,0.048221,,,,,
8,377670,,0.048191,,,,,
9,442465,,0.047801,,,,,
10,492520,,0.0474809,,,,,
11,526370,,0.0456709,,,,,
12,543219,,0.0450409,,,,,
13,551762,,0.0416508,,,,,
14,554735,,0.0410108,,,,,
0,68373,,,0.0,,,,
1,86958,,,0.0,,,,
2,105552,,,0.0,,,,
3,124142,,,0.0,,,,
4,142733,,,0.0,,,,
5,161322,,,0.0,,,,
6,179914,,,0.0,,,,
7,198504,,,0.0,,,,
8,217095,,,0.0,,,,
9,235685,,,0.0,,,,
0,46754,,,,0.147423,,,
1,93431,,,,0.0215304,,,
2,140112,,,,0.00231005,,,
3,186788,,,,0.000310006,,,
4,233462,,,,6.00012e-05,,,
5,280144,,,,0.0,,,
6,326820,,,,1.00002e-05,,,
7,373498,,,,1.00002e-05,,,
8,420176,,,,1.00002e-05,,,
9,466851,,,,0.0,,,
0,454679,,,,,0.00231005,,
1,467191,,,,,0.00231005,,
2,479687,,,,,0.00231005,,
3,492183,,,,,0.00231005,,
4,504687,,,,,0.00131003,,
5,517183,,,,,0.000680014,,
6,529687,,,,,0.000300006,,
7,542191,,,,,0.000160003,,
8,554687,,,,,8.00016e-05,,
0,454679,,,,,,0.00231005,
0,555967,,,,,,,0.0
