,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.998356,,,,,,,,,,
1,25034,0.920963,,,,,,,,,,
2,37534,0.6835,,,,,,,,,,
3,50034,0.44451,,,,,,,,,,
4,62534,0.285496,,,,,,,,,,
5,75034,0.209278,,,,,,,,,,
6,87534,0.169935,,,,,,,,,,
7,100034,0.154903,,,,,,,,,,
0,55719,,0.77158,,,,,,,,,
1,83483,,0.247211,,,,,,,,,
2,111254,,0.0108045,,,,,,,,,
3,139016,,0.00246624,,,,,,,,,
4,166775,,0.00023488,,,,,,,,,
5,194541,,0.00011744,,,,,,,,,
0,75133,,,0.0,,,,,,,,
1,73393,,,0.0211392,,,,,,,,
2,69929,,,0.0500294,,,,,,,,
3,52277,,,0.296066,,,,,,,,
4,48194,,,0.338814,,,,,,,,
5,26233,,,0.674809,,,,,,,,
6,19883,,,0.727305,,,,,,,,
7,18911,,,0.733059,,,,,,,,
8,18041,,,0.744921,,,,,,,,
9,18032,,,0.744921,,,,,,,,
10,18032,,,0.744921,,,,,,,,
0,18032,,,,0.744921,,,,,,,
1,18032,,,,0.744921,,,,,,,
2,18032,,,,0.744921,,,,,,,
3,18032,,,,0.744921,,,,,,,
4,18035,,,,0.744921,,,,,,,
5,18074,,,,0.744568,,,,,,,
6,18200,,,,0.743042,,,,,,,
7,18870,,,,0.735056,,,,,,,
8,21143,,,,0.7064,,,,,,,
9,31291,,,,0.568878,,,,,,,
10,47427,,,,0.354668,,,,,,,
11,62503,,,,0.159718,,,,,,,
12,70818,,,,0.0542572,,,,,,,
13,74284,,,,0.00951262,,,,,,,
14,74951,,,,0.00223136,,,,,,,
0,59201,,,,,0.11791,,,,,,
0,69545,,,,,,0.310628,,,,,
1,64951,,,,,,0.310746,,,,,
2,62194,,,,,,0.31192,,,,,
3,60356,,,,,,0.314621,,,,,
4,59044,,,,,,0.314034,,,,,
5,58059,,,,,,0.314856,,,,,
0,64332,,,,,,,0.386964,,,,
1,59738,,,,,,,0.387082,,,,
2,56981,,,,,,,0.388256,,,,
3,55143,,,,,,,0.390957,,,,
4,53831,,,,,,,0.39037,,,,
5,52846,,,,,,,0.391192,,,,
0,59120,,,,,,,,0.499237,,,
1,54526,,,,,,,,0.499354,,,
2,51769,,,,,,,,0.500528,,,
3,49931,,,,,,,,0.50323,,,
4,48619,,,,,,,,0.502642,,,
5,47634,,,,,,,,0.503464,,,
0,53907,,,,,,,,,0.625954,,
1,49313,,,,,,,,,0.626072,,
2,46556,,,,,,,,,0.627246,,
3,44718,,,,,,,,,0.629947,,
4,43406,,,,,,,,,0.62936,,
5,42421,,,,,,,,,0.630182,,
0,59201,,,,,0.11791,,,,,,
1,60465,,,,,0.11791,,,,,,
2,61713,,,,,0.114034,,,,,,
3,62961,,,,,0.11192,,,,,,
4,64209,,,,,0.110393,,,,,,
5,65465,,,,,0.109336,,,,,,
6,66713,,,,,0.109102,,,,,,
7,67961,,,,,0.108984,,,,,,
8,69209,,,,,0.108867,,,,,,
0,59201,,,,,,,,,,0.11791,
0,75101,,,,,,,,,,,0.0
