,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.746234,,,,,,,,,,
1,25034,0.677276,,,,,,,,,,
2,37534,0.490558,,,,,,,,,,
3,50034,0.251644,,,,,,,,,,
4,62534,0.129005,,,,,,,,,,
5,75034,0.0538935,,,,,,,,,,
6,87534,0.0222788,,,,,,,,,,
7,100034,0.00763845,,,,,,,,,,
0,55719,,0.323573,,,,,,,,,
1,83483,,0.0693826,,,,,,,,,
2,111254,,0.0184596,,,,,,,,,
3,139016,,0.00466794,,,,,,,,,
4,166775,,0.000848716,,,,,,,,,
5,194541,,0.0,,,,,,,,,
0,75133,,,0.0,,,,,,,,
1,73393,,,0.41969,,,,,,,,
2,69929,,,0.41969,,,,,,,,
3,52277,,,0.673456,,,,,,,,
4,48194,,,0.674305,,,,,,,,
5,26233,,,0.756631,,,,,,,,
6,19883,,,0.82283,,,,,,,,
7,18911,,,0.838956,,,,,,,,
8,18041,,,0.848292,,,,,,,,
9,18032,,,0.848292,,,,,,,,
10,18032,,,0.848292,,,,,,,,
0,18032,,,,0.848292,,,,,,,
1,18032,,,,0.848292,,,,,,,
2,18032,,,,0.848292,,,,,,,
3,18032,,,,0.848292,,,,,,,
4,18035,,,,0.847655,,,,,,,
5,18074,,,,0.846595,,,,,,,
6,18200,,,,0.842775,,,,,,,
7,18870,,,,0.826013,,,,,,,
8,21143,,,,0.778697,,,,,,,
9,31291,,,,0.623382,,,,,,,
10,47427,,,,0.373435,,,,,,,
11,62503,,,,0.157013,,,,,,,
12,70818,,,,0.0496499,,,,,,,
13,74284,,,,0.0110333,,,,,,,
14,74951,,,,0.00212179,,,,,,,
0,59201,,,,,0.450244,,,,,,
0,69545,,,,,,0.0492255,,,,,
1,64951,,,,,,0.0780819,,,,,
2,62194,,,,,,0.0814768,,,,,
3,60356,,,,,,0.102058,,,,,
4,59044,,,,,,0.116062,,,,,
5,58059,,,,,,0.140038,,,,,
0,64332,,,,,,,0.0492255,,,,
1,59738,,,,,,,0.0780819,,,,
2,56981,,,,,,,0.0814768,,,,
3,55143,,,,,,,0.102058,,,,
4,53831,,,,,,,0.116062,,,,
5,52846,,,,,,,0.140038,,,,
0,59120,,,,,,,,0.0492255,,,
1,54526,,,,,,,,0.0780819,,,
2,51769,,,,,,,,0.0814768,,,
3,49931,,,,,,,,0.102058,,,
4,48619,,,,,,,,0.116062,,,
5,47634,,,,,,,,0.140038,,,
0,53907,,,,,,,,,0.0492255,,
1,49313,,,,,,,,,0.0780819,,
2,46556,,,,,,,,,0.0814768,,
3,44718,,,,,,,,,0.102058,,
4,43406,,,,,,,,,0.116062,,
5,42421,,,,,,,,,0.140038,,
0,59201,,,,,0.450244,,,,,,
1,60465,,,,,0.450244,,,,,,
2,61713,,,,,0.438362,,,,,,
3,62961,,,,,0.435816,,,,,,
4,64209,,,,,0.431572,,,,,,
5,65465,,,,,0.429875,,,,,,
6,66713,,,,,0.429026,,,,,,
7,67961,,,,,0.428177,,,,,,
8,69209,,,,,0.427329,,,,,,
0,59201,,,,,,,,,,0.450244,
0,75101,,,,,,,,,,,0.0
