,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,0.99995,,,,,,
1,75034,0.578179,,,,,,
2,137534,0.257534,,,,,,
3,200034,0.137036,,,,,,
4,262534,0.0858579,,,,,,
5,325034,0.0498769,,,,,,
6,387534,0.0319564,,,,,,
7,450034,0.0229462,,,,,,
0,37192,,0.996716,,,,,
1,99692,,0.571441,,,,,
2,162192,,0.262179,,,,,
3,224692,,0.147809,,,,,
4,287192,,0.0976213,,,,,
5,349692,,0.0608794,,,,,
6,412192,,0.0422682,,,,,
7,474692,,0.0320165,,,,,
0,306206,,,0.0108123,,,,
1,368706,,,0.00865987,,,,
2,431206,,,0.00687784,,,,
3,493706,,,0.00588671,,,,
4,556206,,,0.00523597,,,,
5,618706,,,0.00463528,,,,
6,681206,,,0.0042949,,,,
7,743706,,,0.00416475,,,,
0,569923,,,,4.00457e-05,,,
1,632423,,,,4.00457e-05,,,
2,694923,,,,4.00457e-05,,,
3,757423,,,,4.00457e-05,,,
4,819923,,,,4.00457e-05,,,
5,882423,,,,3.00342e-05,,,
6,944923,,,,3.00342e-05,,,
7,1007423,,,,3.00342e-05,,,
0,1413964,,,,,1.00114e-05,,
1,1413627,,,,,1.00114e-05,,
2,1283626,,,,,1.00114e-05,,
3,1189109,,,,,3.00342e-05,,
4,1082610,,,,,0.000110126,,
5,985364,,,,,0.000180205,,
6,905412,,,,,0.000370422,,
7,820321,,,,,0.000500571,,
8,729735,,,,,0.00130148,,
9,621830,,,,,0.00328374,,
10,492538,,,,,0.00840959,,
11,429583,,,,,0.0168192,,
12,328322,,,,,0.0353703,,
13,228006,,,,,0.0915844,,
14,181826,,,,,0.155417,,
15,164125,,,,,0.19283,,
16,164013,,,,,0.195633,,
17,164013,,,,,0.195633,,
18,164013,,,,,0.195633,,
19,164013,,,,,0.195633,,
0,164036,,,,,,0.195543,
0,1413933,,,,,,,1.00114e-05
