,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,12534,1.0,,,,,,
1,75034,0.957721,,,,,,
2,137534,0.855792,,,,,,
3,200034,0.735034,,,,,,
4,262534,0.6067,,,,,,
5,325034,0.491219,,,,,,
6,387534,0.405355,,,,,,
7,450034,0.332432,,,,,,
0,13894,,0.997564,,,,,
1,76394,,0.993275,,,,,
2,138894,,0.979114,,,,,
3,201394,,0.961528,,,,,
4,263894,,0.942621,,,,,
5,326394,,0.882654,,,,,
6,388894,,0.844614,,,,,
7,451394,,0.816622,,,,,
0,23500,,,0.973874,,,,
1,86000,,,0.969534,,,,
2,148500,,,0.955348,,,,
3,211000,,,0.937546,,,,
4,273500,,,0.895305,,,,
5,336000,,,0.858419,,,,
6,398500,,,0.820454,,,,
7,461000,,,0.759307,,,,
0,84782,,,,0.879749,,,
1,147282,,,,0.874838,,,
2,209782,,,,0.860145,,,
3,272282,,,,0.832394,,,
4,334782,,,,0.796016,,,
5,397282,,,,0.743611,,,
6,459782,,,,0.695013,,,
7,522282,,,,0.647063,,,
0,870258,,,,,0.0,,
1,869923,,,,,0.000266464,,
2,743416,,,,,0.179711,,
3,626149,,,,,0.296168,,
4,530490,,,,,0.409758,,
5,449530,,,,,0.498655,,
6,387994,,,,,0.559561,,
7,333867,,,,,0.611331,,
8,285696,,,,,0.652671,,
9,244510,,,,,0.686068,,
10,222377,,,,,0.702855,,
11,216969,,,,,0.706484,,
12,211889,,,,,0.709897,,
13,210517,,,,,0.710823,,
14,210133,,,,,0.711141,,
15,209948,,,,,0.711204,,
16,209601,,,,,0.711255,,
17,209465,,,,,0.711255,,
18,209329,,,,,0.711268,,
19,209329,,,,,0.711268,,
0,220490,,,,,,0.695191,
0,871428,,,,,,,0.0032737
