,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,1413579,0.0,,,,,
1,1283278,0.16071,,,,,
2,1082221,0.377088,,,,,
3,905113,0.542735,,,,,
4,700765,0.703724,,,,,
5,492415,0.835407,,,,,
6,328255,0.914122,,,,,
7,182390,0.956292,,,,,
8,164117,0.96068,,,,,
9,164117,0.96068,,,,,
10,164117,0.96068,,,,,
0,1413579,,0.0,,,,
1,1283278,,0.16071,,,,
2,1082221,,0.377088,,,,
3,905113,,0.542735,,,,
4,700765,,0.703724,,,,
5,492415,,0.835407,,,,
6,328255,,0.914122,,,,
7,182418,,0.956238,,,,
8,164210,,0.960551,,,,
9,164210,,0.960551,,,,
10,164210,,0.960551,,,,
0,1413579,,,0.0,,,
1,1283278,,,0.16071,,,
2,1082221,,,0.377088,,,
3,905113,,,0.542735,,,
4,700765,,,0.703724,,,
5,492415,,,0.835407,,,
6,328255,,,0.914122,,,
7,182421,,,0.956228,,,
8,164219,,,0.96054,,,
9,164219,,,0.96054,,,
10,164219,,,0.96054,,,
0,1413579,,,,0.0,,
1,1283278,,,,0.16071,,
2,1082221,,,,0.377088,,
3,905113,,,,0.542735,,
4,700765,,,,0.703724,,
5,492415,,,,0.835407,,
6,328255,,,,0.914122,,
7,182421,,,,0.956228,,
8,164219,,,,0.96054,,
9,164219,,,,0.96054,,
10,164219,,,,0.96054,,
0,164181,,,,,0.966821,
0,1413548,,,,,,0.0
