,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,900655,0.0192583,,,,,
1,781253,0.0497954,,,,,
2,607646,0.103993,,,,,
3,479000,0.163232,,,,,
4,361466,0.237533,,,,,
5,280390,0.309556,,,,,
6,204144,0.352928,,,,,
7,188872,0.37696,,,,,
8,185484,0.385362,,,,,
9,185430,0.385703,,,,,
10,185430,0.385703,,,,,
0,900655,,0.0192583,,,,
1,781253,,0.0497954,,,,
2,609329,,0.101416,,,,
3,481062,,0.158933,,,,
4,366231,,0.228254,,,,
5,287400,,0.295442,,,,
6,212131,,0.336949,,,,
7,197401,,0.359681,,,,
8,194250,,0.367362,,,,
9,194226,,0.367599,,,,
10,194226,,0.367599,,,,
0,900655,,,0.0192583,,,
1,781253,,,0.0497954,,,
2,609472,,,0.100879,,,
3,484152,,,0.154324,,,
4,370763,,,0.220883,,,
5,293589,,,0.284658,,,
6,218518,,,0.32533,,,
7,204068,,,0.34765,,,
8,200988,,,0.355135,,,
9,200952,,,0.355372,,,
10,200952,,,0.355372,,,
0,900655,,,,0.0192583,,
1,781253,,,,0.0497954,,
2,609472,,,,0.100879,,
3,484152,,,,0.154324,,
4,370763,,,,0.220883,,
5,293780,,,,0.284297,,
6,219166,,,,0.324268,,
7,204738,,,,0.346372,,
8,201669,,,,0.353794,,
9,201633,,,,0.354032,,
10,201633,,,,0.354032,,
0,211393,,,,,0.363094,
0,904509,,,,,,0.0
