,Memory usage,FPR Prefix-BF,FPR Multi-Prefix-BF (0.0),FPR Multi-Prefix-BF (0.3),FPR Multi-Prefix-BF (0.5),FPR Multi-Prefix-BF (0.7),FPR SuRFReal
0,81353,0.225279,,,,0.225279,
1,121991,0.0980349,,,,0.0980349,
2,162634,0.0509422,,,,0.0509422,
3,203272,0.0269765,,,,0.0269765,
4,243912,0.0161859,,,,0.0161859,
5,284552,0.0102652,,,,0.0102652,
6,325192,0.00670876,,,,0.00670876,
7,365830,0.00489012,,,,0.00489012,
8,406470,0.00302096,,,,0.00302096,
9,447108,0.00268755,,,,0.00268755,
10,487750,0.00202071,,,,0.00202071,
11,528386,0.00133367,,,,0.00133367,
12,569029,0.00107098,,,,0.00107098,
13,609667,0.000818388,,,,0.000818388,
14,650307,0.000545592,,,,0.000545592,
15,690949,0.000505178,,,,0.000505178,
16,731588,0.000515282,,,,0.000515282,
17,772230,0.000293003,,,,0.000293003,
18,812866,0.000252589,,,,0.000252589,
19,853509,0.000151553,,,,0.000151553,
20,894145,0.000101036,,,,0.000101036,
21,934788,0.000111139,,,,0.000111139,
22,975426,4.04142e-05,,,,4.04142e-05,
23,1016065,7.07249e-05,,,,7.07249e-05,
24,1056702,4.04142e-05,,,,4.04142e-05,
25,1097347,5.05178e-05,,,,5.05178e-05,
26,1137981,1.01036e-05,,,,1.01036e-05,
27,1178623,3.03107e-05,,,,3.03107e-05,
28,1219262,2.02071e-05,,,,2.02071e-05,
29,125075,,0.0785855,,,,
30,187573,,0.0298459,,,,
31,250074,,0.0137712,,,,
32,312575,,0.00719374,,,,
33,375076,,0.00437484,,,,
34,437577,,0.00245517,,,,
35,500075,,0.00147512,,,,
36,562576,,0.00118212,,,,
37,625077,,0.000868906,,,,
38,687575,,0.000545592,,,,
39,750076,,0.000464764,,,,
40,812577,,0.000353625,,,,
41,875077,,0.000202071,,,,
42,937576,,0.000111139,,,,
43,1000074,,0.000111139,,,,
44,1062575,,4.04142e-05,,,,
45,1125076,,6.06214e-05,,,,
46,1187574,,4.04142e-05,,,,
47,1250074,,2.02071e-05,,,,
48,1312576,,0.0,,,,
49,1375073,,1.01036e-05,,,,
50,1437577,,1.01036e-05,,,,
51,1500075,,0.0,,,,
52,1562574,,1.01036e-05,,,,
53,1625076,,0.0,,,,
54,1687576,,0.0,,,,
55,1750076,,0.0,,,,
56,1812576,,0.0,,,,
57,1875076,,0.0,,,,
58,106338,,,0.116009,,,
59,159467,,,0.0483961,,,
60,212599,,,0.0208538,,,
61,265733,,,0.0113968,,,
62,318861,,,0.00692094,,,
63,371994,,,0.00415256,,,
64,425125,,,0.0028391,,,
65,478256,,,0.00206113,,,
66,531388,,,0.00137408,,,
67,584515,,,0.000949735,,,
68,637650,,,0.000666835,,,
69,690782,,,0.000535489,,,
70,743913,,,0.000353625,,,
71,797042,,,0.000202071,,,
72,850175,,,0.00014145,,,
73,903307,,,0.000151553,,,
74,956437,,,8.08285e-05,,,
75,1009565,,,5.05178e-05,,,
76,1062700,,,6.06214e-05,,,
77,1115833,,,7.07249e-05,,,
78,1168962,,,2.02071e-05,,,
79,1222094,,,5.05178e-05,,,
80,1275226,,,2.02071e-05,,,
81,1328358,,,2.02071e-05,,,
82,1381488,,,1.01036e-05,,,
83,1434619,,,0.0,,,
84,1487749,,,0.0,,,
85,1540882,,,0.0,,,
86,1594012,,,0.0,,,
87,93848,,,,0.157919,,
88,140730,,,,0.0682799,,
89,187617,,,,0.0334428,,
90,234502,,,,0.0168527,,
91,281388,,,,0.0105178,,
92,328274,,,,0.00591058,,
93,375157,,,,0.00433443,,
94,422041,,,,0.00273807,,
95,468928,,,,0.00183885,,
96,515813,,,,0.00127305,,
97,562701,,,,0.00127305,,
98,609586,,,,0.000717353,,
99,656471,,,,0.00073756,,
100,703356,,,,0.000414246,,
101,750243,,,,0.000323314,,
102,797126,,,,0.000323314,,
103,844013,,,,0.000202071,,
104,890898,,,,8.08285e-05,,
105,937783,,,,0.000101036,,
106,984670,,,,7.07249e-05,,
107,1031552,,,,5.05178e-05,,
108,1078440,,,,5.05178e-05,,
109,1125328,,,,4.04142e-05,,
110,1172211,,,,1.01036e-05,,
111,1219096,,,,2.02071e-05,,
112,1265981,,,,1.01036e-05,,
113,1312867,,,,1.01036e-05,,
114,1359752,,,,1.01036e-05,,
115,1406635,,,,1.01036e-05,,
116,221111,,,,,,0.500621
117,233615,,,,,,0.500621
118,246119,,,,,,0.49659
119,258623,,,,,,0.49659
120,271119,,,,,,0.314686
121,283615,,,,,,0.226724
122,296119,,,,,,0.178621
123,308615,,,,,,0.1522
124,321119,,,,,,0.138681
