,Memory usage,FPR Prefix-BF,FPR Multi-Prefix-BF (0.0),FPR Multi-Prefix-BF (0.3),FPR Multi-Prefix-BF (0.5),FPR Multi-Prefix-BF (0.7),FPR SuRFReal
0,81353,0.622928,,,,0.622928,
1,121991,0.480098,,,,0.480098,
2,162634,0.377342,,,,0.377342,
3,203272,0.295011,,,,0.295011,
4,243912,0.232059,,,,0.232059,
5,284552,0.181756,,,,0.181756,
6,325192,0.143111,,,,0.143111,
7,365830,0.113796,,,,0.113796,
8,406470,0.0901633,,,,0.0901633,
9,447108,0.0698169,,,,0.0698169,
10,487750,0.057258,,,,0.057258,
11,528386,0.0441476,,,,0.0441476,
12,569029,0.0366865,,,,0.0366865,
13,609667,0.027875,,,,0.027875,
14,650307,0.0226984,,,,0.0226984,
15,690949,0.0179381,,,,0.0179381,
16,731588,0.013673,,,,0.013673,
17,772230,0.0113886,,,,0.0113886,
18,812866,0.00903659,,,,0.00903659,
19,853509,0.0074836,,,,0.0074836,
20,894145,0.00624571,,,,0.00624571,
21,934788,0.00423133,,,,0.00423133,
22,975426,0.0036574,,,,0.0036574,
23,1016065,0.00291466,,,,0.00291466,
24,1056702,0.00259957,,,,0.00259957,
25,1097347,0.0017668,,,,0.0017668,
26,1137981,0.00138418,,,,0.00138418,
27,1178623,0.00124914,,,,0.00124914,
28,1219262,0.00103532,,,,0.00103532,
29,125075,,0.475428,,,,
30,187573,,0.330269,,,,
31,250074,,0.222617,,,,
32,312575,,0.155276,,,,
33,375076,,0.105558,,,,
34,437577,,0.0736994,,,,
35,500075,,0.0497631,,,,
36,562576,,0.0341432,,,,
37,625077,,0.0237449,,,,
38,687575,,0.0157662,,,,
39,750076,,0.0110172,,,,
40,812577,,0.00824884,,,,
41,875077,,0.00499657,,,,
42,937576,,0.00356737,,,,
43,1000074,,0.00225071,,,,
44,1062575,,0.0019131,,,,
45,1125076,,0.00113661,,,,
46,1187574,,0.000877775,,,,
47,1250074,,0.000540169,,,,
48,1312576,,0.000416381,,,,
49,1375073,,0.000326352,,,,
50,1437577,,0.000236324,,,,
51,1500075,,0.000146296,,,,
52,1562574,,0.000101282,,,,
53,1625076,,4.50141e-05,,,,
54,1687576,,4.50141e-05,,,,
55,1750076,,2.25071e-05,,,,
56,1812576,,1.12535e-05,,,,
57,1875076,,1.12535e-05,,,,
58,106338,,,0.525033,,,
59,159467,,,0.393007,,,
60,212599,,,0.278165,,,
61,265733,,,0.203092,,,
62,318861,,,0.147928,,,
63,371994,,,0.106177,,,
64,425125,,,0.0765015,,,
65,478256,,,0.056639,,,
66,531388,,,0.0410979,,,
67,584515,,,0.0286852,,,
68,637650,,,0.0218431,,,
69,690782,,,0.0158337,,,
70,743913,,,0.0117149,,,
71,797042,,,0.00803502,,,
72,850175,,,0.00629072,,,
73,903307,,,0.00446765,,,
74,956437,,,0.0030272,,,
75,1009565,,,0.00223945,,,
76,1062700,,,0.00198062,,,
77,1115833,,,0.00119287,,,
78,1168962,,,0.00095655,,,
79,1222094,,,0.00073148,,,
80,1275226,,,0.000562677,,,
81,1328358,,,0.000371367,,,
82,1381488,,,0.000225071,,,
83,1434619,,,0.000168803,,,
84,1487749,,,0.000101282,,,
85,1540882,,,0.000112535,,,
86,1594012,,,0.000123789,,,
87,93848,,,,0.570363,,
88,140730,,,,0.433351,,
89,187617,,,,0.327286,,
90,234502,,,,0.241366,,
91,281388,,,,0.186392,,
92,328274,,,,0.140748,,
93,375157,,,,0.10414,,
94,422041,,,,0.0789435,,
95,468928,,,,0.0603864,,
96,515813,,,,0.0472873,,
97,562701,,,,0.0336706,,
98,609586,,,,0.0266484,,
99,656471,,,,0.0201101,,
100,703356,,,,0.0154511,,
101,750243,,,,0.0114223,,
102,797126,,,,0.00841764,,
103,844013,,,,0.00630198,,
104,890898,,,,0.00507534,,
105,937783,,,,0.00362364,,
106,984670,,,,0.00316224,,
107,1031552,,,,0.00203689,,
108,1078440,,,,0.00167678,,
109,1125328,,,,0.00153048,,
110,1172211,,,,0.00106909,,
111,1219096,,,,0.000821508,,
112,1265981,,,,0.000540169,,
113,1312867,,,,0.000416381,,
114,1359752,,,,0.000393874,,
115,1406635,,,,0.000213817,,
116,221111,,,,,,0.662957
117,233615,,,,,,0.662957
118,246119,,,,,,0.647371
119,258623,,,,,,0.647371
120,271119,,,,,,0.587243
121,283615,,,,,,0.559728
122,296119,,,,,,0.543928
123,308615,,,,,,0.53542
124,321119,,,,,,0.530863
