,Memory usage,FPR Prefix-BF,FPR Multi-Prefix-BF (0.0),FPR Multi-Prefix-BF (0.3),FPR Multi-Prefix-BF (0.5),FPR Multi-Prefix-BF (0.7),FPR SuRFReal
0,90519,0.308519,,,,0.308519,
1,135740,0.137422,,,,0.137422,
2,180962,0.0722725,,,,0.0722725,
3,226181,0.0423491,,,,0.0423491,
4,271405,0.0231504,,,,0.0231504,
5,316626,0.0128658,,,,0.0128658,
6,361849,0.0073433,,,,0.0073433,
7,407068,0.00505227,,,,0.00505227,
8,452289,0.0028913,,,,0.0028913,
9,497513,0.00213096,,,,0.00213096,
10,542733,0.0013406,,,,0.0013406,
11,587955,0.000970437,,,,0.000970437,
12,633177,0.000700315,,,,0.000700315,
13,678400,0.000650293,,,,0.000650293,
14,723620,0.000410185,,,,0.000410185,
15,768841,0.000300135,,,,0.000300135,
16,814061,0.000350158,,,,0.000350158,
17,859284,0.000140063,,,,0.000140063,
18,904504,0.00011005,,,,0.00011005,
19,949728,0.000100045,,,,0.000100045,
20,994948,0.000140063,,,,0.000140063,
21,1040169,8.0036e-05,,,,8.0036e-05,
22,1085391,0.000100045,,,,0.000100045,
23,1130613,8.0036e-05,,,,8.0036e-05,
24,1175834,5.00225e-05,,,,5.00225e-05,
25,1221055,5.00225e-05,,,,5.00225e-05,
26,1266279,3.00135e-05,,,,3.00135e-05,
27,1311497,2.0009e-05,,,,2.0009e-05,
28,1356724,1.00045e-05,,,,1.00045e-05,
29,125074,,0.214927,,,,
30,187572,,0.091021,,,,
31,250075,,0.0453704,,,,
32,312576,,0.0228603,,,,
33,375074,,0.0115152,,,,
34,437573,,0.00701316,,,,
35,500077,,0.00369166,,,,
36,562575,,0.00221099,,,,
37,625074,,0.00157071,,,,
38,687577,,0.000900405,,,,
39,750077,,0.000720324,,,,
40,812573,,0.000570257,,,,
41,875074,,0.000420189,,,,
42,937576,,0.000330149,,,,
43,1000076,,0.000210095,,,,
44,1062575,,9.00405e-05,,,,
45,1125076,,0.000120054,,,,
46,1187574,,0.000100045,,,,
47,1250073,,0.000120054,,,,
48,1312576,,6.0027e-05,,,,
49,1375076,,4.0018e-05,,,,
50,1437576,,4.0018e-05,,,,
51,1500076,,0.0,,,,
52,1562575,,4.0018e-05,,,,
53,1625073,,3.00135e-05,,,,
54,1687575,,1.00045e-05,,,,
55,1750077,,1.00045e-05,,,,
56,1812577,,1.00045e-05,,,,
57,1875075,,0.0,,,,
58,110265,,,0.249672,,,
59,165359,,,0.107979,,,
60,220455,,,0.0547646,,,
61,275551,,,0.0316442,,,
62,330645,,,0.0152369,,,
63,385741,,,0.00849382,,,
64,440836,,,0.00507228,,,
65,495931,,,0.00296133,,,
66,551027,,,0.00211095,,,
67,606120,,,0.00120054,,,
68,661213,,,0.000760342,,,
69,716310,,,0.00060027,,,
70,771406,,,0.000410185,,,
71,826501,,,0.000460207,,,
72,881593,,,0.000180081,,,
73,936687,,,0.00020009,,,
74,991785,,,0.00020009,,,
75,1046880,,,0.000140063,,,
76,1101977,,,0.000130059,,,
77,1157068,,,0.000100045,,,
78,1212164,,,5.00225e-05,,,
79,1267258,,,6.0027e-05,,,
80,1322354,,,4.0018e-05,,,
81,1377452,,,4.0018e-05,,,
82,1432543,,,0.0,,,
83,1487641,,,1.00045e-05,,,
84,1542734,,,2.0009e-05,,,
85,1597827,,,1.00045e-05,,,
86,1652924,,,2.0009e-05,,,
87,100390,,,,0.276064,,
88,150550,,,,0.121625,,
89,200708,,,,0.0636386,,
90,250868,,,,0.0371267,,
91,301026,,,,0.017668,,
92,351183,,,,0.0104947,,
93,401340,,,,0.0060027,,
94,451499,,,,0.00411185,,
95,501659,,,,0.00257116,,
96,551818,,,,0.00154069,,
97,601974,,,,0.00119054,,
98,652132,,,,0.000850383,,
99,702290,,,,0.000690311,,
100,752450,,,,0.000440198,,
101,802606,,,,0.00031014,,
102,852766,,,,0.000260117,,
103,902924,,,,0.000140063,,
104,953085,,,,0.000190086,,
105,1003240,,,,0.000150068,,
106,1053398,,,,0.000160072,,
107,1103559,,,,8.0036e-05,,
108,1153716,,,,0.000120054,,
109,1203874,,,,2.0009e-05,,
110,1254032,,,,5.00225e-05,,
111,1304189,,,,5.00225e-05,,
112,1354347,,,,1.00045e-05,,
113,1404505,,,,2.0009e-05,,
114,1454662,,,,2.0009e-05,,
115,1504824,,,,2.0009e-05,,
116,164181,,,,,,0.197269
117,176685,,,,,,0.197269
118,189181,,,,,,0.197089
119,201685,,,,,,0.197089
120,214181,,,,,,0.101196
121,250648,,,,,,0.0542444
122,263152,,,,,,0.028803
123,275648,,,,,,0.0146666
124,288152,,,,,,0.00721325
