,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.610771,,,,
1,75034,0.161307,,,,
0,179171,,0.0,,,
1,179171,,0.0,,,
2,171772,,0.0,,,
3,170758,,4.55799e-05,,,
4,164584,,4.55799e-05,,,
5,139741,,0.00011395,,,
6,131224,,0.00018232,,,
7,125934,,0.000524169,,,
8,122502,,0.000774858,,,
9,118192,,0.00195994,,,
10,113229,,0.00713325,,,
11,112624,,0.0130131,,,
12,112348,,0.0271428,,,
13,112181,,0.0494086,,,
14,112049,,0.0845963,,,
15,112041,,0.0918663,,,
16,111833,,0.120992,,,
17,111833,,0.120992,,,
18,111761,,0.223114,,,
19,111761,,0.223114,,,
0,155494,,,0.0165455,,
0,235154,,,,0.127988,
1,213786,,,,0.131042,
2,195979,,,,0.131088,
3,180912,,,,0.126894,
4,167997,,,,0.137742,
5,156804,,,,0.138153,
6,147011,,,,0.13478,
7,138370,,,,0.139497,
8,130688,,,,0.148271,
9,123816,,,,0.14957,
0,179636,,,,,0.0
