,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.885712,,,,
1,75034,0.732004,,,,
0,179171,,0.00335586,,,
1,179171,,0.00335586,,,
2,171772,,0.387059,,,
3,170758,,0.398261,,,
4,164584,,0.408754,,,
5,139741,,0.552867,,,
6,131224,,0.602023,,,
0,155494,,,0.436735,,
0,235154,,,,0.510564,
1,213786,,,,0.528856,
2,195979,,,,0.538829,
3,180912,,,,0.55074,
4,167997,,,,0.56076,
5,156804,,,,0.568937,
6,147011,,,,0.578816,
7,138370,,,,0.586614,
8,130688,,,,0.596446,
9,123816,,,,0.606324,
0,179636,,,,,0.0132817
