,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,0.987597,,,,
2,137534,0.962525,,,,
3,200034,0.944251,,,,
4,262534,0.935114,,,,
5,325034,0.929729,,,,
6,387534,0.927389,,,,
7,450034,0.926771,,,,
0,368523,,0.0,,,
1,368523,,0.0,,,
2,317923,,0.784242,,,
3,302722,,0.995145,,,
4,253013,,0.995145,,,
5,223900,,0.995233,,,
6,190781,,0.995498,,,
7,168185,,0.995763,,,
8,145985,,0.996072,,,
9,124010,,0.996734,,,
10,100121,,0.997175,,,
11,91580,,0.997307,,,
12,90948,,0.997307,,,
13,90892,,0.997307,,,
14,90892,,0.997307,,,
15,90892,,0.997307,,,
16,90892,,0.997307,,,
17,90892,,0.997307,,,
18,90892,,0.997307,,,
19,90892,,0.997307,,,
0,91981,,,0.995895,,
0,483541,,,,0.654469,
1,439592,,,,0.668594,
2,402968,,,,0.686515,
3,371978,,,,0.699537,
4,345416,,,,0.711145,
5,322395,,,,0.727433,
6,302252,,,,0.736791,
7,284479,,,,0.748974,
8,268681,,,,0.757669,
9,254545,,,,0.765791,
0,368600,,,,,0.00150077
