,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.931966,,,,
0,89797,,0.337023,,,
1,89797,,0.337023,,,
2,70792,,0.562957,,,
3,68355,,0.614947,,,
4,68020,,0.623375,,,
5,67935,,0.625914,,,
6,67926,,0.626117,,,
7,67923,,0.626117,,,
8,67923,,0.626117,,,
9,67922,,0.626117,,,
10,67921,,0.626117,,,
11,67921,,0.626117,,,
12,67921,,0.626117,,,
13,67921,,0.626117,,,
14,67921,,0.626117,,,
15,67921,,0.626117,,,
16,67921,,0.626117,,,
17,67921,,0.626117,,,
18,67921,,0.626117,,,
19,67921,,0.626117,,,
0,93461,,,0.753757,,
0,119913,,,,0.598903,
1,109020,,,,0.610175,
2,99943,,,,0.613526,
3,92263,,,,0.633631,
4,85680,,,,0.635256,
5,79974,,,,0.645816,
6,74982,,,,0.657189,
7,70577,,,,0.661048,
8,66661,,,,0.665516,
9,63158,,,,0.671507,
0,105580,,,,,0.600833
