,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.998891,,,,
1,75034,0.957151,,,,
2,137534,0.932825,,,,
3,200034,0.927803,,,,
4,262534,0.927411,,,,
5,325034,0.927346,,,,
6,387534,0.927281,,,,
7,450034,0.927281,,,,
0,179171,,0.0,,,
1,179171,,0.0,,,
2,171772,,0.0576534,,,
3,170758,,0.0623492,,,
4,164584,,0.0904585,,,
5,139741,,0.258332,,,
6,131224,,0.316246,,,
7,125934,,0.344225,,,
8,122502,,0.358899,,,
9,118192,,0.382182,,,
10,113229,,0.413422,,,
11,112624,,0.416357,,,
12,112348,,0.416944,,,
13,112181,,0.417726,,,
14,112049,,0.417987,,,
15,112041,,0.417987,,,
16,111833,,0.417987,,,
17,111833,,0.417987,,,
18,111761,,0.417987,,,
19,111761,,0.417987,,,
0,155494,,,0.126394,,
0,235154,,,,0.650558,
1,213786,,,,0.663862,
2,195979,,,,0.681015,
3,180912,,,,0.68558,
4,167997,,,,0.696015,
5,156804,,,,0.712059,
6,147011,,,,0.716755,
7,138370,,,,0.730516,
8,130688,,,,0.743821,
9,123816,,,,0.753603,
0,179636,,,,,0.00684797
