,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.79784,,,,
1,75034,0.410714,,,,
0,222768,,0.0589958,,,
1,222768,,0.0589958,,,
2,175567,,0.147382,,,
3,171256,,0.169277,,,
4,138701,,0.28066,,,
5,122630,,0.348978,,,
6,114185,,0.408054,,,
7,106419,,0.461301,,,
8,102247,,0.496924,,,
9,99917,,0.517959,,,
10,98044,,0.538189,,,
11,97726,,0.542111,,,
12,97568,,0.543992,,,
13,97523,,0.544824,,,
14,97221,,0.545201,,,
15,97221,,0.545201,,,
16,97221,,0.545201,,,
17,97221,,0.545201,,,
18,97221,,0.545201,,,
19,97221,,0.545201,,,
0,110830,,,0.53741,,
0,292582,,,,0.307659,
1,265993,,,,0.31408,
2,243836,,,,0.317975,
3,225087,,,,0.322838,
4,209017,,,,0.325793,
5,195089,,,,0.33302,
6,182903,,,,0.334068,
7,172150,,,,0.340811,
8,162591,,,,0.344088,
9,154040,,,,0.346479,
0,227123,,,,,0.11783
