,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.999781,,,,
1,75034,0.964399,,,,
2,137534,0.930883,,,,
3,200034,0.919638,,,,
4,262534,0.916676,,,,
5,325034,0.915853,,,,
6,387534,0.915743,,,,
7,450034,0.915743,,,,
0,222768,,0.0,,,
1,222768,,0.0,,,
2,175567,,0.845968,,,
3,171256,,0.891991,,,
4,138701,,0.904717,,,
5,122630,,0.917773,,,
6,114185,,0.922765,,,
7,106419,,0.928524,,,
8,102247,,0.930773,,,
9,99917,,0.931487,,,
10,98044,,0.931706,,,
11,97726,,0.931761,,,
12,97568,,0.931761,,,
13,97523,,0.931761,,,
14,97221,,0.931761,,,
15,97221,,0.931761,,,
16,97221,,0.931761,,,
17,97221,,0.931761,,,
18,97221,,0.931761,,,
19,97221,,0.931761,,,
0,110830,,,0.904992,,
0,292582,,,,0.658201,
1,265993,,,,0.67175,
2,243836,,,,0.687877,
3,225087,,,,0.694295,
4,209017,,,,0.712671,
5,195089,,,,0.721558,
6,182903,,,,0.733132,
7,172150,,,,0.74136,
8,162591,,,,0.759682,
9,154040,,,,0.764235,
0,227123,,,,,0.0674163
