,Memory usage,RangeBF,Range KR-BF
0,12534,0.983056,
1,137534,0.748663,
2,262534,0.734522,
3,387534,0.6974,
4,512534,0.668923,
5,637534,0.657993,
6,762534,0.653229,
7,887534,0.651893,
0,12534,,0.992972
1,137534,,0.752458
2,262534,,0.744309
3,387534,,0.741981
4,512534,,0.741765
5,637534,,0.741269
6,762534,,0.741183
7,887534,,0.741183
