,Memory usage,RangeBF,Range KR-BF
0,12534,0.99962,
1,137534,0.0355885,
2,262534,0.00517124,
3,387534,0.00172041,
4,512534,0.00120029,
5,637534,0.000850204,
6,762534,0.00071017,
7,887534,0.000570137,
0,12534,,1.0
1,137534,,0.0477915
2,262534,,0.00618148
3,387534,,0.0020705
4,512534,,0.00114027
5,637534,,0.00079019
6,762534,,0.000720173
7,887534,,0.000570137
