,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.2734,,,,,,,,,,
1,25034,0.0512,,,,,,,,,,
2,37534,0.0139,,,,,,,,,,
3,50034,0.0028,,,,,,,,,,
4,62534,0.001,,,,,,,,,,
5,75034,0.0003,,,,,,,,,,
6,87534,0.0003,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,52378,,0.9869,,,,,,,,,
1,78486,,0.9494,,,,,,,,,
2,104523,,0.8802,,,,,,,,,
3,130635,,0.7918,,,,,,,,,
4,156746,,0.6799,,,,,,,,,
5,182854,,0.5718,,,,,,,,,
0,178160,,,0.0,,,,,,,,
1,164948,,,0.0,,,,,,,,
2,138548,,,0.0,,,,,,,,
3,125348,,,0.0,,,,,,,,
4,98936,,,0.0,,,,,,,,
5,72536,,,0.0,,,,,,,,
6,59320,,,0.0,,,,,,,,
7,32922,,,0.0004,,,,,,,,
8,19902,,,0.0136,,,,,,,,
9,16267,,,0.3531,,,,,,,,
10,16267,,,0.3531,,,,,,,,
0,16267,,,,0.3531,,,,,,,
1,16267,,,,0.3531,,,,,,,
2,16267,,,,0.3531,,,,,,,
3,16267,,,,0.3531,,,,,,,
4,16267,,,,0.3531,,,,,,,
5,16267,,,,0.3531,,,,,,,
6,16267,,,,0.3531,,,,,,,
7,16267,,,,0.3531,,,,,,,
8,16267,,,,0.3531,,,,,,,
9,16267,,,,0.3531,,,,,,,
10,16267,,,,0.3531,,,,,,,
11,16291,,,,0.3531,,,,,,,
12,18237,,,,0.3531,,,,,,,
13,130869,,,,0.3432,,,,,,,
14,178160,,,,0.0,,,,,,,
0,16219,,,,,0.3531,,,,,,
0,136573,,,,,,0.0007,,,,,
1,133449,,,,,,0.0007,,,,,
2,131574,,,,,,0.0007,,,,,
3,130323,,,,,,0.0007,,,,,
4,129430,,,,,,0.0007,,,,,
5,128761,,,,,,0.0007,,,,,
0,120869,,,,,,,0.0014,,,,
1,117745,,,,,,,0.0014,,,,
2,115870,,,,,,,0.0014,,,,
3,114619,,,,,,,0.0014,,,,
4,113726,,,,,,,0.0014,,,,
5,113057,,,,,,,0.0014,,,,
0,105165,,,,,,,,0.0061,,,
1,102041,,,,,,,,0.0061,,,
2,100166,,,,,,,,0.0061,,,
3,98915,,,,,,,,0.0061,,,
4,98022,,,,,,,,0.0061,,,
5,97353,,,,,,,,0.0061,,,
0,89461,,,,,,,,,0.0245,,
1,86337,,,,,,,,,0.0245,,
2,84462,,,,,,,,,0.0245,,
3,83211,,,,,,,,,0.0245,,
4,82318,,,,,,,,,0.0245,,
5,81649,,,,,,,,,0.0245,,
0,16219,,,,,0.3531,,,,,,
1,17483,,,,,0.3531,,,,,,
2,18731,,,,,0.1889,,,,,,
3,19979,,,,,0.1153,,,,,,
4,21227,,,,,0.0606,,,,,,
5,22483,,,,,0.0299,,,,,,
6,23731,,,,,0.0142,,,,,,
7,24979,,,,,0.0067,,,,,,
8,26227,,,,,0.0041,,,,,,
0,16219,,,,,,,,,,0.3531,
0,178128,,,,,,,,,,,0.0
