,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.1379,,,,,,,,,,
1,25034,0.0184,,,,,,,,,,
2,37534,0.0029,,,,,,,,,,
3,50034,0.0008,,,,,,,,,,
4,62534,0.0002,,,,,,,,,,
5,75034,0.0001,,,,,,,,,,
6,87534,0.0001,,,,,,,,,,
7,100034,0.0002,,,,,,,,,,
0,52471,,0.9866,,,,,,,,,
1,78599,,0.9356,,,,,,,,,
2,104727,,0.8118,,,,,,,,,
3,130862,,0.6028,,,,,,,,,
4,156993,,0.2417,,,,,,,,,
5,183122,,0.0316,,,,,,,,,
0,149837,,,0.0,,,,,,,,
1,136652,,,0.0,,,,,,,,
2,110388,,,0.0,,,,,,,,
3,97394,,,0.0,,,,,,,,
4,72179,,,0.0,,,,,,,,
5,49483,,,0.0,,,,,,,,
6,40068,,,0.0,,,,,,,,
7,27386,,,0.0002,,,,,,,,
8,24621,,,0.004,,,,,,,,
9,23660,,,0.0981,,,,,,,,
10,23660,,,0.0981,,,,,,,,
0,23660,,,,0.0981,,,,,,,
1,23660,,,,0.0981,,,,,,,
2,23682,,,,0.0981,,,,,,,
3,23788,,,,0.0981,,,,,,,
4,24148,,,,0.0981,,,,,,,
5,24929,,,,0.0981,,,,,,,
6,26676,,,,0.0981,,,,,,,
7,30212,,,,0.0981,,,,,,,
8,37322,,,,0.0981,,,,,,,
9,48594,,,,0.0981,,,,,,,
10,66117,,,,0.0981,,,,,,,
11,88853,,,,0.0981,,,,,,,
12,115708,,,,0.098,,,,,,,
13,137320,,,,0.0956,,,,,,,
14,149837,,,,0.0,,,,,,,
0,23630,,,,,0.0981,,,,,,
0,113016,,,,,,0.0002,,,,,
1,109889,,,,,,0.0002,,,,,
2,108014,,,,,,0.0002,,,,,
3,106763,,,,,,0.0002,,,,,
4,105869,,,,,,0.0002,,,,,
5,105200,,,,,,0.0002,,,,,
0,100526,,,,,,,0.0007,,,,
1,97399,,,,,,,0.0007,,,,
2,95524,,,,,,,0.0007,,,,
3,94273,,,,,,,0.0007,,,,
4,93379,,,,,,,0.0007,,,,
5,92710,,,,,,,0.0007,,,,
0,88036,,,,,,,,0.0034,,,
1,84909,,,,,,,,0.0034,,,
2,83034,,,,,,,,0.0034,,,
3,81783,,,,,,,,0.0034,,,
4,80889,,,,,,,,0.0034,,,
5,80220,,,,,,,,0.0034,,,
0,75545,,,,,,,,,0.013,,
1,72418,,,,,,,,,0.013,,
2,70543,,,,,,,,,0.013,,
3,69292,,,,,,,,,0.013,,
4,68398,,,,,,,,,0.013,,
5,67729,,,,,,,,,0.013,,
0,23630,,,,,0.0981,,,,,,
1,24886,,,,,0.0981,,,,,,
2,26134,,,,,0.0554,,,,,,
3,27390,,,,,0.034,,,,,,
4,28638,,,,,0.019,,,,,,
5,29886,,,,,0.0098,,,,,,
6,31142,,,,,0.0055,,,,,,
7,32390,,,,,0.0031,,,,,,
8,33638,,,,,0.0016,,,,,,
0,23630,,,,,,,,,,0.0981,
0,149808,,,,,,,,,,,0.0
