,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.983603,,,,,,,,,,
1,25034,0.893579,,,,,,,,,,
2,37534,0.713107,,,,,,,,,,
3,50034,0.526182,,,,,,,,,,
4,62534,0.377869,,,,,,,,,,
5,75034,0.268698,,,,,,,,,,
6,87534,0.183645,,,,,,,,,,
7,100034,0.134455,,,,,,,,,,
0,53312,,0.662753,,,,,,,,,
1,79891,,0.363059,,,,,,,,,
2,106446,,0.174971,,,,,,,,,
3,133019,,0.0813498,,,,,,,,,
4,159581,,0.0363906,,,,,,,,,
5,186150,,0.015868,,,,,,,,,
0,127655,,,0.0,,,,,,,,
1,114459,,,1.0,,,,,,,,
2,84567,,,1.0,,,,,,,,
3,71433,,,1.0,,,,,,,,
4,46237,,,1.0,,,,,,,,
5,28461,,,1.0,,,,,,,,
6,24781,,,1.0,,,,,,,,
7,23097,,,1.0,,,,,,,,
8,23051,,,1.0,,,,,,,,
9,23042,,,1.0,,,,,,,,
10,23042,,,1.0,,,,,,,,
0,23042,,,,1.0,,,,,,,
1,23042,,,,1.0,,,,,,,
2,23044,,,,0.999788,,,,,,,
3,23076,,,,0.998413,,,,,,,
4,23246,,,,0.994182,,,,,,,
5,23990,,,,0.980112,,,,,,,
6,27384,,,,0.928171,,,,,,,
7,37548,,,,0.800592,,,,,,,
8,61042,,,,0.547339,,,,,,,
9,92217,,,,0.27843,,,,,,,
10,113368,,,,0.101026,,,,,,,
11,123108,,,,0.0265524,,,,,,,
12,126383,,,,0.00380831,,,,,,,
13,126899,,,,0.000740506,,,,,,,
14,127655,,,,0.0,,,,,,,
0,22994,,,,,1.0,,,,,,
0,97854,,,,,,0.0721464,,,,,
1,94730,,,,,,0.0813498,,,,,
2,92855,,,,,,0.0845234,,,,,
3,91604,,,,,,0.0893896,,,,,
4,90711,,,,,,0.0916111,,,,,
5,90042,,,,,,0.100815,,,,,
0,87418,,,,,,,0.0721464,,,,
1,84294,,,,,,,0.0813498,,,,
2,82419,,,,,,,0.0845234,,,,
3,81168,,,,,,,0.0893896,,,,
4,80275,,,,,,,0.0916111,,,,
5,79606,,,,,,,0.100815,,,,
0,76983,,,,,,,,0.0721464,,,
1,73859,,,,,,,,0.0813498,,,
2,71984,,,,,,,,0.0845234,,,
3,70733,,,,,,,,0.0893896,,,
4,69840,,,,,,,,0.0916111,,,
5,69171,,,,,,,,0.100815,,,
0,66548,,,,,,,,,0.0721464,,
1,63424,,,,,,,,,0.0813498,,
2,61549,,,,,,,,,0.0845234,,
3,60298,,,,,,,,,0.0893896,,
4,59405,,,,,,,,,0.0916111,,
5,58736,,,,,,,,,0.100815,,
0,22994,,,,,1.0,,,,,,
1,24258,,,,,1.0,,,,,,
2,25506,,,,,0.999788,,,,,,
3,26754,,,,,0.999788,,,,,,
4,28002,,,,,0.999788,,,,,,
5,29250,,,,,0.999788,,,,,,
6,30498,,,,,0.999788,,,,,,
7,31746,,,,,0.999788,,,,,,
8,33002,,,,,0.999788,,,,,,
0,22994,,,,,,,,,,1.0,
0,127623,,,,,,,,,,,0.0
