,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.931182,,,,,,,,,,
1,25034,0.664809,,,,,,,,,,
2,37534,0.395326,,,,,,,,,,
3,50034,0.211598,,,,,,,,,,
4,62534,0.128095,,,,,,,,,,
5,75034,0.0881123,,,,,,,,,,
6,87534,0.0706399,,,,,,,,,,
7,100034,0.0641012,,,,,,,,,,
0,55768,,0.634795,,,,,,,,,
1,83542,,0.18212,,,,,,,,,
2,111318,,0.00900418,,,,,,,,,
3,139088,,0.00192947,,,,,,,,,
4,166890,,0.000428771,,,,,,,,,
5,194654,,0.0,,,,,,,,,
0,74735,,,0.0,,,,,,,,
1,73050,,,0.0170436,,,,,,,,
2,69704,,,0.0465216,,,,,,,,
3,51883,,,0.279022,,,,,,,,
4,47802,,,0.319112,,,,,,,,
5,26236,,,0.642513,,,,,,,,
6,20011,,,0.697181,,,,,,,,
7,19051,,,0.70447,,,,,,,,
8,18423,,,0.712295,,,,,,,,
9,18417,,,0.712295,,,,,,,,
10,18417,,,0.712295,,,,,,,,
0,18417,,,,0.712295,,,,,,,
1,18417,,,,0.712295,,,,,,,
2,18417,,,,0.712295,,,,,,,
3,18417,,,,0.712295,,,,,,,
4,18420,,,,0.712295,,,,,,,
5,18443,,,,0.711866,,,,,,,
6,18536,,,,0.710901,,,,,,,
7,19107,,,,0.704899,,,,,,,
8,21539,,,,0.674242,,,,,,,
9,31454,,,,0.54411,,,,,,,
10,48240,,,,0.32608,,,,,,,
11,62779,,,,0.145996,,,,,,,
12,71002,,,,0.0452353,,,,,,,
13,73848,,,,0.0101833,,,,,,,
14,74619,,,,0.0015007,,,,,,,
0,59269,,,,,0.110516,,,,,,
0,69244,,,,,,0.205917,,,,,
1,64657,,,,,,0.205917,,,,,
2,61905,,,,,,0.207096,,,,,
3,60070,,,,,,0.207847,,,,,
4,58759,,,,,,0.207632,,,,,
5,57776,,,,,,0.208168,,,,,
0,64066,,,,,,,0.292743,,,,
1,59479,,,,,,,0.292743,,,,
2,56727,,,,,,,0.293922,,,,
3,54892,,,,,,,0.294673,,,,
4,53581,,,,,,,0.294458,,,,
5,52598,,,,,,,0.294994,,,,
0,58888,,,,,,,,0.44099,,,
1,54301,,,,,,,,0.44099,,,
2,51549,,,,,,,,0.44217,,,
3,49714,,,,,,,,0.44292,,,
4,48403,,,,,,,,0.442706,,,
5,47420,,,,,,,,0.443242,,,
0,53710,,,,,,,,,0.583878,,
1,49123,,,,,,,,,0.583878,,
2,46371,,,,,,,,,0.585057,,
3,44536,,,,,,,,,0.585808,,
4,43225,,,,,,,,,0.585593,,
5,42242,,,,,,,,,0.586129,,
0,59269,,,,,0.110516,,,,,,
1,60533,,,,,0.110516,,,,,,
2,61781,,,,,0.106014,,,,,,
3,63029,,,,,0.104298,,,,,,
4,64277,,,,,0.103441,,,,,,
5,65533,,,,,0.102583,,,,,,
6,66781,,,,,0.102369,,,,,,
7,68029,,,,,0.102262,,,,,,
8,69277,,,,,0.102155,,,,,,
0,59269,,,,,,,,,,0.110516,
0,74703,,,,,,,,,,,0.0
