,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.0281028,,,,,,,,,,
1,25034,0.00190019,,,,,,,,,,
2,37534,0.00030003,,,,,,,,,,
3,50034,0.0,,,,,,,,,,
4,62534,0.0,,,,,,,,,,
5,75034,0.0,,,,,,,,,,
6,87534,0.0,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,53312,,0.678068,,,,,,,,,
1,79891,,0.367937,,,,,,,,,
2,106446,,0.171217,,,,,,,,,
3,133019,,0.0786079,,,,,,,,,
4,159581,,0.0361036,,,,,,,,,
5,186150,,0.0161016,,,,,,,,,
0,127655,,,0.0,,,,,,,,
1,114459,,,0.00010001,,,,,,,,
2,84567,,,0.00160016,,,,,,,,
3,71433,,,0.00580058,,,,,,,,
4,46237,,,0.0660066,,,,,,,,
5,28461,,,0.315132,,,,,,,,
6,24781,,,0.422142,,,,,,,,
7,23097,,,0.491749,,,,,,,,
8,23051,,,0.494349,,,,,,,,
9,23042,,,0.494749,,,,,,,,
10,23042,,,0.494749,,,,,,,,
0,23042,,,,0.494749,,,,,,,
1,23042,,,,0.494749,,,,,,,
2,23044,,,,0.494749,,,,,,,
3,23076,,,,0.494749,,,,,,,
4,23246,,,,0.494749,,,,,,,
5,23990,,,,0.494249,,,,,,,
6,27384,,,,0.491649,,,,,,,
7,37548,,,,0.468347,,,,,,,
8,61042,,,,0.378538,,,,,,,
9,92217,,,,0.220722,,,,,,,
10,113368,,,,0.0921092,,,,,,,
11,123108,,,,0.0259026,,,,,,,
12,126383,,,,0.00390039,,,,,,,
13,126899,,,,0.00060006,,,,,,,
14,127655,,,,0.0,,,,,,,
0,22994,,,,,0.494749,,,,,,
0,97854,,,,,,0.00010001,,,,,
1,94730,,,,,,0.0,,,,,
2,92855,,,,,,0.0,,,,,
3,91604,,,,,,0.0,,,,,
4,90711,,,,,,0.0,,,,,
5,90042,,,,,,0.00010001,,,,,
0,87418,,,,,,,0.00010001,,,,
1,84294,,,,,,,0.0,,,,
2,82419,,,,,,,0.0,,,,
3,81168,,,,,,,0.0,,,,
4,80275,,,,,,,0.0,,,,
5,79606,,,,,,,0.00010001,,,,
0,76983,,,,,,,,0.00030003,,,
1,73859,,,,,,,,0.00020002,,,
2,71984,,,,,,,,0.00020002,,,
3,70733,,,,,,,,0.00020002,,,
4,69840,,,,,,,,0.00020002,,,
5,69171,,,,,,,,0.00030003,,,
0,66548,,,,,,,,,0.00060006,,
1,63424,,,,,,,,,0.00050005,,
2,61549,,,,,,,,,0.00060006,,
3,60298,,,,,,,,,0.00050005,,
4,59405,,,,,,,,,0.00050005,,
5,58736,,,,,,,,,0.00070007,,
0,22994,,,,,0.494749,,,,,,
1,24258,,,,,0.494749,,,,,,
2,25506,,,,,0.332633,,,,,,
3,26754,,,,,0.248225,,,,,,
4,28002,,,,,0.187519,,,,,,
5,29250,,,,,0.159916,,,,,,
6,30498,,,,,0.144814,,,,,,
7,31746,,,,,0.138514,,,,,,
8,33002,,,,,0.135014,,,,,,
0,22994,,,,,,,,,,0.494749,
0,127623,,,,,,,,,,,0.0
