,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.99868,,,,,,,,
1,25034,0.977757,,,,,,,,
2,37534,0.916494,,,,,,,,
3,50034,0.855042,,,,,,,,
4,62534,0.803959,,,,,,,,
5,75034,0.758341,,,,,,,,
6,87534,0.731008,,,,,,,,
7,100034,0.713855,,,,,,,,
0,79480,,0.48935,,,,,,,
1,119159,,0.0786051,,,,,,,
2,158832,,0.0137606,,,,,,,
3,198513,,0.00377003,,,,,,,
4,238191,,0.00207352,,,,,,,
5,277866,,0.0,,,,,,,
0,55101,,,0.76607,,,,,,
1,82590,,,0.20886,,,,,,
2,110076,,,0.0409048,,,,,,
3,137568,,,0.00565504,,,,,,
4,165053,,,0.00226202,,,,,,
5,192544,,,0.0,,,,,,
0,30726,,,,0.978322,,,,,
1,46024,,,,0.626956,,,,,
2,61322,,,,0.189067,,,,,
3,76624,,,,0.0361923,,,,,
4,91922,,,,0.00885957,,,,,
5,107218,,,,0.000942507,,,,,
0,127361,,,,,0.0,,,,
1,114164,,,,,0.999623,,,,
2,87790,,,,,0.999811,,,,
3,71339,,,,,1.0,,,,
4,46243,,,,,1.0,,,,
5,28482,,,,,1.0,,,,
6,24709,,,,,1.0,,,,
7,22981,,,,,1.0,,,,
8,22918,,,,,1.0,,,,
9,22909,,,,,1.0,,,,
10,22909,,,,,1.0,,,,
0,22909,,,,,,1.0,,,
1,22909,,,,,,1.0,,,
2,22915,,,,,,0.999811,,,
3,22939,,,,,,0.998303,,,
4,23081,,,,,,0.99491,,,
5,24001,,,,,,0.978511,,,
6,27580,,,,,,0.926107,,,
7,38120,,,,,,0.790386,,,
8,59864,,,,,,0.55344,,,
9,91329,,,,,,0.284449,,,
10,112836,,,,,,0.106503,,,
11,123040,,,,,,0.0271442,,,
12,126269,,,,,,0.00527804,,,
13,126937,,,,,,0.000377003,,,
14,127361,,,,,,0.0,,,
0,22883,,,,,,,0.999623,,
0,22883,,,,,,,0.999623,,
1,24147,,,,,,,0.999623,,
2,25395,,,,,,,0.999623,,
3,26643,,,,,,,0.999623,,
4,27891,,,,,,,0.999623,,
5,29139,,,,,,,0.999623,,
6,30395,,,,,,,0.999434,,
7,31643,,,,,,,0.999434,,
8,32891,,,,,,,0.999434,,
0,22883,,,,,,,,0.999623,
0,127330,,,,,,,,,0.0
