,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,1.0,,,,,,,
1,75034,0.999061,,,,,,,
2,137534,0.993625,,,,,,,
3,200034,0.982413,,,,,,,
4,262534,0.963328,,,,,,,
5,325034,0.934889,,,,,,,
6,387534,0.899476,,,,,,,
7,450034,0.858567,,,,,,,
0,869923,,1.99848e-05,,,,,,
1,743210,,0.195871,,,,,,
2,530775,,0.441584,,,,,,
3,390110,,0.600883,,,,,,
4,279738,,0.706503,,,,,,
5,230128,,0.742296,,,,,,
6,220004,,0.748731,,,,,,
7,218381,,0.74967,,,,,,
8,217954,,0.74973,,,,,,
9,217890,,0.74973,,,,,,
10,217890,,0.74973,,,,,,
0,220989,,,0.747712,,,,,
0,1604928,,,,0.592969,,,,
1,1459034,,,,0.597706,,,,
2,1337457,,,,0.602462,,,,
3,1234584,,,,0.606579,,,,
4,1146407,,,,0.609936,,,,
5,1069987,,,,0.615872,,,,
6,1003119,,,,0.619389,,,,
7,944118,,,,0.622507,,,,
8,891673,,,,0.629162,,,,
9,844748,,,,0.63116,,,,
0,962935,,,,,0.739138,,,
1,875399,,,,,0.743615,,,
2,802452,,,,,0.748251,,,
3,740729,,,,,0.753727,,,
4,687822,,,,,0.754906,,,
5,641970,,,,,0.760262,,,
6,601850,,,,,0.764799,,,
7,566449,,,,,0.767956,,,
8,534982,,,,,0.774411,,,
9,506827,,,,,0.775231,,,
0,1123417,,,,,,0.677225,,
1,1021292,,,,,,0.681762,,
2,936187,,,,,,0.685999,,
3,864177,,,,,,0.692374,,
4,802452,,,,,,0.693913,,
5,748958,,,,,,0.700028,,
6,702151,,,,,,0.703865,,
7,660850,,,,,,0.706623,,
8,624139,,,,,,0.713837,,
9,591291,,,,,,0.715336,,
0,1283900,,,,,,,0.639214,
1,1167185,,,,,,,0.642672,
2,1069923,,,,,,,0.647168,
3,987625,,,,,,,0.651885,
4,917083,,,,,,,0.654802,
5,855947,,,,,,,0.660618,
6,802453,,,,,,,0.664675,
7,755252,,,,,,,0.668252,
8,713296,,,,,,,0.674048,
9,675756,,,,,,,0.676486,
0,871153,,,,,,,,0.00585555
