,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.99996,,,,,,,
1,75034,0.575541,,,,,,,
2,137534,0.236313,,,,,,,
3,200034,0.120587,,,,,,,
4,262534,0.0708099,,,,,,,
5,325034,0.0449163,,,,,,,
6,387534,0.0268038,,,,,,,
7,450034,0.0188026,,,,,,,
0,1930299,,0.0,,,,,,
1,1800021,,0.0,,,,,,
2,1598900,,3.00042e-05,,,,,,
3,1421710,,3.00042e-05,,,,,,
4,1217053,,0.000150021,,,,,,
5,585492,,0.000800112,,,,,,
6,413512,,0.0050207,,,,,,
7,244218,,0.0383154,,,,,,
8,142086,,0.122897,,,,,,
9,141785,,0.123237,,,,,,
10,141785,,0.123237,,,,,,
0,141737,,,0.123237,,,,,
0,2874231,,,,0.00275039,,,,
1,2612953,,,,0.0028304,,,,
2,2395222,,,,0.00275039,,,,
3,2210989,,,,0.0028604,,,,
4,2053074,,,,0.0028604,,,,
5,1916214,,,,0.0028304,,,,
6,1796463,,,,0.0028504,,,,
7,1690799,,,,0.00281039,,,,
8,1596877,,,,0.00297042,,,,
9,1512841,,,,0.0028904,,,,
0,1724549,,,,,0.0221331,,,
1,1567782,,,,,0.0235433,,,
2,1437143,,,,,0.0247435,,,
3,1326604,,,,,0.0256536,,,
4,1231855,,,,,0.0265137,,,
5,1149739,,,,,0.0280439,,,
6,1077888,,,,,0.028724,,,
7,1014490,,,,,0.0299742,,,
8,958136,,,,,0.0313544,,,
9,907715,,,,,0.0326246,,,
0,2011953,,,,,,0.013942,,
1,1829059,,,,,,0.014072,,
2,1676647,,,,,,0.014532,,
3,1547684,,,,,,0.0147521,,
4,1437144,,,,,,0.0153822,,
5,1341342,,,,,,0.0156422,,
6,1257516,,,,,,0.0158022,,
7,1183551,,,,,,0.0158322,,
8,1117805,,,,,,0.0165623,,
9,1058980,,,,,,0.0176325,,
0,2299358,,,,,,,0.00812114,
1,2090336,,,,,,,0.00822115,
2,1916151,,,,,,,0.00836117,
3,1768765,,,,,,,0.00850119,
4,1642433,,,,,,,0.00875123,
5,1532945,,,,,,,0.00864121,
6,1437144,,,,,,,0.00880123,
7,1352613,,,,,,,0.00870122,
8,1277475,,,,,,,0.00902126,
9,1210246,,,,,,,0.0092513,
0,1930267,,,,,,,,0.0
