,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.90082,,,,,,,
1,75034,0.03085,,,,,,,
2,137534,0.00214,,,,,,,
3,200034,0.00036,,,,,,,
4,262534,7e-05,,,,,,,
5,325034,5e-05,,,,,,,
6,387534,3e-05,,,,,,,
7,450034,1e-05,,,,,,,
0,556543,,5e-05,,,,,,
1,539981,,5e-05,,,,,,
2,512580,,5e-05,,,,,,
3,490320,,5e-05,,,,,,
4,470804,,5e-05,,,,,,
5,458850,,5e-05,,,,,,
6,455508,,5e-05,,,,,,
7,454840,,6e-05,,,,,,
8,454754,,7e-05,,,,,,
9,454682,,0.00014,,,,,,
10,454682,,0.00014,,,,,,
0,454666,,,0.00014,,,,,
0,1055761,,,,2e-05,,,,
1,959792,,,,3e-05,,,,
2,879818,,,,2e-05,,,,
3,812147,,,,2e-05,,,,
4,754144,,,,2e-05,,,,
5,703874,,,,2e-05,,,,
6,659889,,,,2e-05,,,,
7,621078,,,,2e-05,,,,
8,586579,,,,3e-05,,,,
9,555713,,,,2e-05,,,,
0,633435,,,,,0.00032,,,
1,575853,,,,,0.00038,,,
2,527869,,,,,0.0004,,,
3,487266,,,,,0.00042,,,
4,452465,,,,,0.00042,,,
5,422303,,,,,0.00046,,,
6,395912,,,,,0.00043,,,
7,372625,,,,,0.00044,,,
8,351926,,,,,0.00055,,,
9,333406,,,,,0.00053,,,
0,739000,,,,,,0.00014,,
1,671822,,,,,,0.00016,,
2,615840,,,,,,0.00015,,
3,568470,,,,,,0.00012,,
4,527869,,,,,,0.00016,,
5,492680,,,,,,0.00018,,
6,461890,,,,,,0.00015,,
7,434722,,,,,,0.00013,,
8,410573,,,,,,0.00021,,
9,388967,,,,,,0.00024,,
0,844566,,,,,,,8e-05,
1,767791,,,,,,,8e-05,
2,703812,,,,,,,7e-05,
3,649675,,,,,,,8e-05,
4,603273,,,,,,,6e-05,
5,563057,,,,,,,9e-05,
6,527869,,,,,,,7e-05,
7,496820,,,,,,,7e-05,
8,469221,,,,,,,8e-05,
9,444528,,,,,,,8e-05,
0,556524,,,,,,,,5e-05
