,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,1.0,,,,,,,
1,75034,0.999809,,,,,,,
2,137534,0.997257,,,,,,,
3,200034,0.992232,,,,,,,
4,262534,0.985039,,,,,,,
5,325034,0.972279,,,,,,,
6,387534,0.956665,,,,,,,
7,450034,0.935739,,,,,,,
0,1379792,,0.0,,,,,,
1,1251689,,0.976618,,,,,,
2,1057594,,0.987256,,,,,,
3,638284,,0.987767,,,,,,
4,470379,,0.988181,,,,,,
5,330359,,0.988357,,,,,,
6,248639,,0.988389,,,,,,
7,202398,,0.988405,,,,,,
8,186639,,0.988405,,,,,,
9,185327,,0.988405,,,,,,
10,185327,,0.988405,,,,,,
0,186985,,,0.986331,,,,,
0,2132021,,,,0.594064,,,,
1,1938217,,,,0.598864,,,,
2,1776714,,,,0.602262,,,,
3,1640058,,,,0.606409,,,,
4,1522924,,,,0.611895,,,,
5,1421408,,,,0.617047,,,,
6,1332582,,,,0.621577,,,,
7,1254206,,,,0.626553,,,,
8,1184538,,,,0.629504,,,,
9,1122203,,,,0.632423,,,,
0,1279223,,,,,0.716414,,,
1,1162940,,,,,0.72029,,,
2,1066039,,,,,0.724851,,,
3,984045,,,,,0.729684,,,
4,913765,,,,,0.736096,,,
5,852855,,,,,0.740227,,,
6,799559,,,,,0.742922,,,
7,752534,,,,,0.74825,,,
8,710733,,,,,0.753896,,,
9,673332,,,,,0.756527,,,
0,1492406,,,,,,0.662903,,
1,1356743,,,,,,0.667257,,
2,1243692,,,,,,0.670447,,
3,1148032,,,,,,0.675168,,
4,1066039,,,,,,0.681372,,
5,994977,,,,,,0.686827,,
6,932799,,,,,,0.690368,,
7,877936,,,,,,0.695233,,
8,829168,,,,,,0.699667,,
9,785534,,,,,,0.702203,,
0,1705590,,,,,,,0.631147,
1,1550547,,,,,,,0.635341,
2,1421345,,,,,,,0.638563,
3,1312020,,,,,,,0.643205,
4,1218313,,,,,,,0.648931,
5,1137100,,,,,,,0.654449,
6,1066039,,,,,,,0.657846,
7,1003338,,,,,,,0.66303,
8,947604,,,,,,,0.666603,
9,897736,,,,,,,0.669601,
0,1380426,,,,,,,,0.00370034
