,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.998813,,,,,,,
1,75034,0.229394,,,,,,,
2,137534,0.0837128,,,,,,,
3,200034,0.0555077,,,,,,,
4,262534,0.0419781,,,,,,,
5,325034,0.0354669,,,,,,,
6,387534,0.0314303,,,,,,,
7,450034,0.0286007,,,,,,,
0,1379792,,0.00348888,,,,,,
1,1251689,,0.0106796,,,,,,
2,1057594,,0.0267346,,,,,,
3,638284,,0.0495441,,,,,,
4,470379,,0.090579,,,,,,
5,330359,,0.149474,,,,,,
6,248639,,0.20702,,,,,,
7,202398,,0.258613,,,,,,
8,186639,,0.289962,,,,,,
9,185327,,0.295571,,,,,,
10,185327,,0.295571,,,,,,
0,186985,,,0.297914,,,,,
0,2132021,,,,0.0206392,,,,
1,1938217,,,,0.020771,,,,
2,1776714,,,,0.0207811,,,,
3,1640058,,,,0.0206899,,,,
4,1522924,,,,0.0208014,,,,
5,1421408,,,,0.0208724,,,,
6,1332582,,,,0.0209231,,,,
7,1254206,,,,0.0210448,,,,
8,1184538,,,,0.0211158,,,,
9,1122203,,,,0.0210448,,,,
0,1279223,,,,,0.0327691,,,
1,1162940,,,,,0.0327894,,,
2,1066039,,,,,0.0330734,,,
3,984045,,,,,0.0335196,,,
4,913765,,,,,0.0337225,,,
5,852855,,,,,0.0347772,,,
6,799559,,,,,0.0345642,,,
7,752534,,,,,0.0351728,,,
8,710733,,,,,0.0361464,,,
9,673332,,,,,0.0368259,,,
0,1492406,,,,,,0.0268765,,
1,1356743,,,,,,0.0270084,,
2,1243692,,,,,,0.0271808,,
3,1148032,,,,,,0.0272417,,
4,1066039,,,,,,0.0274952,,
5,994977,,,,,,0.0276068,,
6,932799,,,,,,0.0278705,,
7,877936,,,,,,0.0282356,,
8,829168,,,,,,0.0288847,,
9,785534,,,,,,0.0290875,,
0,1705590,,,,,,,0.0239049,
1,1550547,,,,,,,0.0238339,
2,1421345,,,,,,,0.0239962,
3,1312020,,,,,,,0.0239049,
4,1218313,,,,,,,0.0240875,
5,1137100,,,,,,,0.0242193,
6,1066039,,,,,,,0.0242903,
7,1003338,,,,,,,0.024625,
8,947604,,,,,,,0.0248887,
9,897736,,,,,,,0.0250408,
0,1380426,,,,,,,,0.00752543
