,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.993394,,,,,,,
1,75034,0.257268,,,,,,,
2,137534,0.131476,,,,,,,
3,200034,0.0915979,,,,,,,
4,262534,0.0733765,,,,,,,
5,325034,0.064276,,,,,,,
6,387534,0.0579466,,,,,,,
7,450034,0.0540303,,,,,,,
0,869923,,0.00774052,,,,,,
1,743210,,0.0287125,,,,,,
2,530775,,0.0750023,,,,,,
3,390110,,0.171007,,,,,,
4,279738,,0.331513,,,,,,
5,230128,,0.451169,,,,,,
6,220004,,0.488287,,,,,,
7,218381,,0.495711,,,,,,
8,217954,,0.496477,,,,,,
9,217890,,0.496549,,,,,,
10,217890,,0.496549,,,,,,
0,220989,,,0.499034,,,,,
0,1604928,,,,0.0438152,,,,
1,1459034,,,,0.0439584,,,,
2,1337457,,,,0.0443163,,,,
3,1234584,,,,0.0443572,,,,
4,1146407,,,,0.0445003,,,,
5,1069987,,,,0.0443981,,,,
6,1003119,,,,0.0447355,,,,
7,944118,,,,0.0448582,,,,
8,891673,,,,0.0450321,,,,
9,844748,,,,0.0451343,,,,
0,962935,,,,,0.0641226,,,
1,875399,,,,,0.0644498,,,
2,802452,,,,,0.0661472,,,
3,740729,,,,,0.0664744,,,
4,687822,,,,,0.0673334,,,
5,641970,,,,,0.0683457,,,
6,601850,,,,,0.0693477,,,
7,566449,,,,,0.070176,,,
8,534982,,,,,0.0708713,,,
9,506827,,,,,0.0722108,,,
0,1123417,,,,,,0.0537644,,
1,1021292,,,,,,0.0539894,,
2,936187,,,,,,0.0545722,,
3,864177,,,,,,0.0549301,,
4,802452,,,,,,0.0550426,,
5,748958,,,,,,0.0557277,,
6,702151,,,,,,0.0563923,,
7,660850,,,,,,0.0571388,,
8,624139,,,,,,0.0571899,,
9,591291,,,,,,0.0578341,,
0,1283900,,,,,,,0.0480281,
1,1167185,,,,,,,0.0481508,
2,1069923,,,,,,,0.0485086,
3,987625,,,,,,,0.0487029,
4,917083,,,,,,,0.0488461,
5,855947,,,,,,,0.0491324,
6,802453,,,,,,,0.049705,
7,755252,,,,,,,0.0499606,
8,713296,,,,,,,0.0502367,
9,675756,,,,,,,0.050339,
0,871153,,,,,,,,0.0179249
