,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,1.0,,,,,,,
1,75034,0.996442,,,,,,,
2,137534,0.981302,,,,,,,
3,200034,0.952853,,,,,,,
4,262534,0.90331,,,,,,,
5,325034,0.838731,,,,,,,
6,387534,0.76558,,,,,,,
7,450034,0.701719,,,,,,,
0,556543,,0.0,,,,,,
1,539981,,0.0307758,,,,,,
2,512580,,0.060012,,,,,,
3,490320,,0.078847,,,,,,
4,470804,,0.0945514,,,,,,
5,458850,,0.102061,,,,,,
6,455508,,0.103892,,,,,,
7,454840,,0.104234,,,,,,
8,454754,,0.104285,,,,,,
9,454682,,0.104285,,,,,,
10,454682,,0.104285,,,,,,
0,454666,,,0.104422,,,,,
0,1055761,,,,0.595894,,,,
1,959792,,,,0.599607,,,,
2,879818,,,,0.602361,,,,
3,812147,,,,0.606295,,,,
4,754144,,,,0.611547,,,,
5,703874,,,,0.614781,,,,
6,659889,,,,0.618476,,,,
7,621078,,,,0.621384,,,,
8,586579,,,,0.625165,,,,
9,555713,,,,0.628022,,,,
0,633435,,,,,0.730083,,,
1,575853,,,,,0.733025,,,
2,527869,,,,,0.737747,,,
3,487266,,,,,0.741168,,,
4,452465,,,,,0.74577,,,
5,422303,,,,,0.749448,,,
6,395912,,,,,0.751125,,,
7,372625,,,,,0.755521,,,
8,351926,,,,,0.758293,,,
9,333406,,,,,0.761868,,,
0,739000,,,,,,0.666957,,
1,671822,,,,,,0.670909,,
2,615840,,,,,,0.674929,,
3,568470,,,,,,0.678317,,
4,527869,,,,,,0.683808,,
5,492680,,,,,,0.686323,,
6,461890,,,,,,0.689009,,
7,434722,,,,,,0.693816,,
8,410573,,,,,,0.696365,,
9,388967,,,,,,0.700163,,
0,844566,,,,,,,0.634266,
1,767791,,,,,,,0.637892,
2,703812,,,,,,,0.641348,
3,649675,,,,,,,0.644889,
4,603273,,,,,,,0.650004,
5,563057,,,,,,,0.652844,
6,527869,,,,,,,0.655718,
7,496820,,,,,,,0.660029,
8,469221,,,,,,,0.663057,
9,444528,,,,,,,0.666701,
0,556524,,,,,,,,0.000136857
