,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.99936,,,,,,,
1,75034,0.33596,,,,,,,
2,137534,0.099403,,,,,,,
3,200034,0.0431213,,,,,,,
4,262534,0.0194806,,,,,,,
5,325034,0.0104303,,,,,,,
6,387534,0.00612018,,,,,,,
7,450034,0.00369011,,,,,,,
0,1379792,,7.00021e-05,,,,,,
1,1251689,,7.00021e-05,,,,,,
2,1057594,,7.00021e-05,,,,,,
3,638284,,0.0,,,,,,
4,470379,,0.0,,,,,,
5,330359,,7.00021e-05,,,,,,
6,248639,,0.00066002,,,,,,
7,202398,,0.00693021,,,,,,
8,186639,,0.121894,,,,,,
9,185327,,0.242227,,,,,,
10,185327,,0.242227,,,,,,
0,186985,,,0.242227,,,,,
0,2132021,,,,0.000920028,,,,
1,1938217,,,,0.000910027,,,,
2,1776714,,,,0.000920028,,,,
3,1640058,,,,0.000940028,,,,
4,1522924,,,,0.000910027,,,,
5,1421408,,,,0.000970029,,,,
6,1332582,,,,0.000960029,,,,
7,1254206,,,,0.000960029,,,,
8,1184538,,,,0.000960029,,,,
9,1122203,,,,0.000960029,,,,
0,1279223,,,,,0.00697021,,,
1,1162940,,,,,0.00726022,,,
2,1066039,,,,,0.00753023,,,
3,984045,,,,,0.00780023,,,
4,913765,,,,,0.00878026,,,
5,852855,,,,,0.00902027,,,
6,799559,,,,,0.00946028,,,
7,752534,,,,,0.00947028,,,
8,710733,,,,,0.0104903,,,
9,673332,,,,,0.0110103,,,
0,1492406,,,,,,0.00391012,,
1,1356743,,,,,,0.00404012,,
2,1243692,,,,,,0.00418013,,
3,1148032,,,,,,0.00407012,,
4,1066039,,,,,,0.00437013,,
5,994977,,,,,,0.00453014,,
6,932799,,,,,,0.00445013,,
7,877936,,,,,,0.00439013,,
8,829168,,,,,,0.00504015,,
9,785534,,,,,,0.00483014,,
0,1705590,,,,,,,0.00235007,
1,1550547,,,,,,,0.00247007,
2,1421345,,,,,,,0.00253008,
3,1312020,,,,,,,0.00236007,
4,1218313,,,,,,,0.00255008,
5,1137100,,,,,,,0.00263008,
6,1066039,,,,,,,0.00258008,
7,1003338,,,,,,,0.00258008,
8,947604,,,,,,,0.00275008,
9,897736,,,,,,,0.00267008,
0,1380426,,,,,,,,7.00021e-05
