,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.979064,,,,,,,
1,75034,0.745424,,,,,,,
2,137534,0.727078,,,,,,,
3,200034,0.707919,,,,,,,
4,262534,0.674716,,,,,,,
5,325034,0.61165,,,,,,,
6,387534,0.52099,,,,,,,
7,450034,0.408238,,,,,,,
0,556543,,8.56293e-05,,,,,,
1,539981,,0.398561,,,,,,
2,512580,,0.400724,,,,,,
3,490320,,0.404663,,,,,,
4,470804,,0.41406,,,,,,
5,458850,,0.426091,,,,,,
6,455508,,0.431914,,,,,,
7,454840,,0.433284,,,,,,
8,454754,,0.433455,,,,,,
9,454682,,0.433455,,,,,,
10,454682,,0.433455,,,,,,
0,454666,,,0.43352,,,,,
0,1055761,,,,0.219211,,,,
1,959792,,,,0.232098,,,,
2,879818,,,,0.239655,,,,
3,812147,,,,0.248453,,,,
4,754144,,,,0.259542,,,,
5,703874,,,,0.268512,,,,
6,659889,,,,0.277161,,,,
7,621078,,,,0.284717,,,,
8,586579,,,,0.294629,,,,
9,555713,,,,0.303534,,,,
0,633435,,,,,0.733821,,,
1,575853,,,,,0.733864,,,
2,527869,,,,,0.73425,,,
3,487266,,,,,0.73425,,,
4,452465,,,,,0.734078,,,
5,422303,,,,,0.734442,,,
6,395912,,,,,0.734399,,,
7,372625,,,,,0.733907,,,
8,351926,,,,,0.734635,,,
9,333406,,,,,0.734742,,,
0,739000,,,,,,0.733372,,
1,671822,,,,,,0.7335,,
2,615840,,,,,,0.733457,,
3,568470,,,,,,0.733607,,
4,527869,,,,,,0.733522,,
5,492680,,,,,,0.733779,,
6,461890,,,,,,0.733843,,
7,434722,,,,,,0.733436,,
8,410573,,,,,,0.733586,,
9,388967,,,,,,0.7338,,
0,844566,,,,,,,0.408195,
1,767791,,,,,,,0.415923,
2,703812,,,,,,,0.42166,
3,649675,,,,,,,0.42774,
4,603273,,,,,,,0.433648,
5,563057,,,,,,,0.438615,
6,527869,,,,,,,0.445615,
7,496820,,,,,,,0.450731,
8,469221,,,,,,,0.456276,
9,444528,,,,,,,0.462077,
0,556524,,,,,,,,0.000256888
