,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.999919,,,,,,,
1,75034,0.999822,,,,,,,
2,137534,0.998869,,,,,,,
3,200034,0.997028,,,,,,,
4,262534,0.99328,,,,,,,
5,325034,0.988692,,,,,,,
6,387534,0.98013,,,,,,,
7,450034,0.970307,,,,,,,
0,1930299,,0.0,,,,,,
1,1800021,,0.160353,,,,,,
2,1598900,,0.372692,,,,,,
3,1421710,,0.536453,,,,,,
4,1217053,,0.699262,,,,,,
5,585492,,0.832329,,,,,,
6,413512,,0.914363,,,,,,
7,244218,,0.972811,,,,,,
8,142086,,0.994863,,,,,,
9,141785,,0.994879,,,,,,
10,141785,,0.994879,,,,,,
0,141737,,,0.994879,,,,,
0,2874231,,,,0.595968,,,,
1,2612953,,,,0.599296,,,,
2,2395222,,,,0.602624,,,,
3,2210989,,,,0.610071,,,,
4,2053074,,,,0.612543,,,,
5,1916214,,,,0.618681,,,,
6,1796463,,,,0.622639,,,,
7,1690799,,,,0.627567,,,,
8,1596877,,,,0.631379,,,,
9,1512841,,,,0.637906,,,,
0,1724549,,,,,0.716224,,,
1,1567782,,,,,0.719875,,,
2,1437143,,,,,0.725174,,,
3,1326604,,,,,0.730521,,,
4,1231855,,,,,0.733365,,,
5,1149739,,,,,0.740537,,,
6,1077888,,,,,0.743978,,,
7,1014490,,,,,0.748372,,,
8,958136,,,,,0.752863,,,
9,907715,,,,,0.758986,,,
0,2011953,,,,,,0.662122,,
1,1829059,,,,,,0.665854,,
2,1676647,,,,,,0.669165,,
3,1547684,,,,,,0.676306,,
4,1437144,,,,,,0.678228,,
5,1341342,,,,,,0.686241,,
6,1257516,,,,,,0.689197,,
7,1183551,,,,,,0.695029,,
8,1117805,,,,,,0.69952,,
9,1058980,,,,,,0.704803,,
0,2299358,,,,,,,0.630588,
1,2090336,,,,,,,0.635111,
2,1916151,,,,,,,0.637841,
3,1768765,,,,,,,0.644836,
4,1642433,,,,,,,0.647405,
5,1532945,,,,,,,0.654254,
6,1437144,,,,,,,0.657905,
7,1352613,,,,,,,0.663026,
8,1277475,,,,,,,0.666322,
9,1210246,,,,,,,0.672946,
0,1930267,,,,,,,,0.0
