,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,1.0,,,,,,,
1,75034,0.99908,,,,,,,
2,137534,0.993844,,,,,,,
3,200034,0.984499,,,,,,,
4,262534,0.966776,,,,,,,
5,325034,0.942184,,,,,,,
6,387534,0.908071,,,,,,,
7,450034,0.866629,,,,,,,
0,869923,,0.0,,,,,,
1,743210,,0.969299,,,,,,
2,530775,,0.972234,,,,,,
3,390110,,0.973376,,,,,,
4,279738,,0.974709,,,,,,
5,230128,,0.975042,,,,,,
6,220004,,0.975106,,,,,,
7,218381,,0.975106,,,,,,
8,217954,,0.975106,,,,,,
9,217890,,0.975106,,,,,,
10,217890,,0.975106,,,,,,
0,220989,,,0.971123,,,,,
0,1604928,,,,0.595586,,,,
1,1459034,,,,0.600711,,,,
2,1337457,,,,0.603376,,,,
3,1234584,,,,0.609025,,,,
4,1146407,,,,0.614165,,,,
5,1069987,,,,0.619274,,,,
6,1003119,,,,0.62405,,,,
7,944118,,,,0.627953,,,,
8,891673,,,,0.633522,,,,
9,844748,,,,0.636315,,,,
0,962935,,,,,0.716423,,,
1,875399,,,,,0.721802,,,
2,802452,,,,,0.726609,,,
3,740729,,,,,0.730671,,,
4,687822,,,,,0.73559,,,
5,641970,,,,,0.741412,,,
6,601850,,,,,0.745442,,,
7,566449,,,,,0.750472,,,
8,534982,,,,,0.75428,,,
9,506827,,,,,0.757263,,,
0,1123417,,,,,,0.662145,,
1,1021292,,,,,,0.667444,,
2,936187,,,,,,0.671553,,
3,864177,,,,,,0.676567,,
4,802452,,,,,,0.681613,,
5,748958,,,,,,0.686801,,
6,702151,,,,,,0.691846,,
7,660850,,,,,,0.695718,,
8,624139,,,,,,0.700129,,
9,591291,,,,,,0.703809,,
0,1283900,,,,,,,0.63065,
1,1167185,,,,,,,0.63549,
2,1069923,,,,,,,0.638393,
3,987625,,,,,,,0.643835,
4,917083,,,,,,,0.649103,
5,855947,,,,,,,0.654053,
6,802453,,,,,,,0.6594,
7,755252,,,,,,,0.66324,
8,713296,,,,,,,0.668126,
9,675756,,,,,,,0.671347,
0,871153,,,,,,,,0.00758405
