,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,0.9999,,,,,,,
1,75034,0.222644,,,,,,,
2,137534,0.0236305,,,,,,,
3,200034,0.0048201,,,,,,,
4,262534,0.00205004,,,,,,,
5,325034,0.000940019,,,,,,,
6,387534,0.000540011,,,,,,,
7,450034,0.000260005,,,,,,,
0,1930299,,0.0,,,,,,
1,1800021,,0.0,,,,,,
2,1598900,,5.0001e-05,,,,,,
3,1421710,,5.0001e-05,,,,,,
4,1217053,,9.00018e-05,,,,,,
5,585492,,0.000810016,,,,,,
6,413512,,0.0050001,,,,,,
7,244218,,0.0376008,,,,,,
8,142086,,0.120022,,,,,,
9,141785,,0.120462,,,,,,
10,141785,,0.120462,,,,,,
0,141737,,,0.120462,,,,,
0,2874231,,,,8.00016e-05,,,,
1,2612953,,,,8.00016e-05,,,,
2,2395222,,,,8.00016e-05,,,,
3,2210989,,,,8.00016e-05,,,,
4,2053074,,,,8.00016e-05,,,,
5,1916214,,,,0.000100002,,,,
6,1796463,,,,8.00016e-05,,,,
7,1690799,,,,8.00016e-05,,,,
8,1596877,,,,8.00016e-05,,,,
9,1512841,,,,8.00016e-05,,,,
0,1724549,,,,,0.000310006,,,
1,1567782,,,,,0.000250005,,,
2,1437143,,,,,0.000260005,,,
3,1326604,,,,,0.000330007,,,
4,1231855,,,,,0.000380008,,,
5,1149739,,,,,0.000380008,,,
6,1077888,,,,,0.000370007,,,
7,1014490,,,,,0.000400008,,,
8,958136,,,,,0.000380008,,,
9,907715,,,,,0.000400008,,,
0,2011953,,,,,,0.000210004,,
1,1829059,,,,,,0.000170003,,
2,1676647,,,,,,0.000190004,,
3,1547684,,,,,,0.000200004,,
4,1437144,,,,,,0.000200004,,
5,1341342,,,,,,0.000230005,,
6,1257516,,,,,,0.000220004,,
7,1183551,,,,,,0.000230005,,
8,1117805,,,,,,0.000230005,,
9,1058980,,,,,,0.000250005,,
0,2299358,,,,,,,0.000120002,
1,2090336,,,,,,,0.000110002,
2,1916151,,,,,,,0.000120002,
3,1768765,,,,,,,0.000120002,
4,1642433,,,,,,,0.000120002,
5,1532945,,,,,,,0.000140003,
6,1437144,,,,,,,0.000120002,
7,1352613,,,,,,,0.000140003,
8,1277475,,,,,,,0.000130003,
9,1210246,,,,,,,0.000150003,
0,1930267,,,,,,,,0.0
