,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,ReCHaREQ b=3,ReCHaREQ b=4,ReCHaREQ b=5,FST
0,12534,1.0,,,,,,,
1,75034,0.999921,,,,,,,
2,137534,0.998898,,,,,,,
3,200034,0.996521,,,,,,,
4,262534,0.993546,,,,,,,
5,325034,0.988807,,,,,,,
6,387534,0.98018,,,,,,,
7,450034,0.971301,,,,,,,
0,1930299,,0.0,,,,,,
1,1800021,,0.983738,,,,,,
2,1598900,,0.999984,,,,,,
3,1421710,,0.999984,,,,,,
4,1217053,,0.999984,,,,,,
5,585492,,0.999984,,,,,,
6,413512,,0.999984,,,,,,
7,244218,,0.999984,,,,,,
8,142086,,0.999984,,,,,,
9,141785,,0.999984,,,,,,
10,141785,,0.999984,,,,,,
0,141737,,,0.999984,,,,,
0,2874231,,,,0.594109,,,,
1,2612953,,,,0.599351,,,,
2,2395222,,,,0.604058,,,,
3,2210989,,,,0.609065,,,,
4,2053074,,,,0.612134,,,,
5,1916214,,,,0.618353,,,,
6,1796463,,,,0.623532,,,,
7,1690799,,,,0.627861,,,,
8,1596877,,,,0.63134,,,,
9,1512841,,,,0.636016,,,,
0,1724549,,,,,0.714619,,,
1,1567782,,,,,0.718397,,,
2,1437143,,,,,0.723765,,,
3,1326604,,,,,0.730503,,,
4,1231855,,,,,0.73384,,,
5,1149739,,,,,0.740122,,,
6,1077888,,,,,0.744104,,,
7,1014490,,,,,0.748733,,,
8,958136,,,,,0.752212,,,
9,907715,,,,,0.757234,,,
0,2011953,,,,,,0.660684,,
1,1829059,,,,,,0.665029,,
2,1676647,,,,,,0.670713,,
3,1547684,,,,,,0.676427,,
4,1437144,,,,,,0.680079,,
5,1341342,,,,,,0.685936,,
6,1257516,,,,,,0.690044,,
7,1183551,,,,,,0.695885,,
8,1117805,,,,,,0.699254,,
9,1058980,,,,,,0.705047,,
0,2299358,,,,,,,0.629813,
1,2090336,,,,,,,0.63441,
2,1916151,,,,,,,0.639558,
3,1768765,,,,,,,0.644407,
4,1642433,,,,,,,0.648515,
5,1532945,,,,,,,0.653758,
6,1437144,,,,,,,0.658606,
7,1352613,,,,,,,0.663817,
8,1277475,,,,,,,0.666619,
9,1210246,,,,,,,0.672082,
0,1930267,,,,,,,,0.0
