,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.999836,,,,,,
1,137534,0.999523,,,,,,
2,262534,0.992713,,,,,,
3,387534,0.962677,,,,,,
4,512534,0.908807,,,,,,
5,637534,0.831513,,,,,,
6,762534,0.761917,,,,,,
7,887534,0.696335,,,,,,
0,1415123,,0.0,,,,,
1,1284759,,0.167763,,,,,
2,1083462,,0.389611,,,,,
3,906268,,0.561815,,,,,
4,701548,,0.728509,,,,,
5,493226,,0.863654,,,,,
6,328518,,0.944896,,,,,
7,182247,,0.986347,,,,,
8,164072,,0.990196,,,,,
9,164070,,0.990196,,,,,
10,164070,,0.990196,,,,,
0,164070,,,0.990196,,,,
1,164070,,,0.990196,,,,
2,164149,,,0.98995,,,,
3,164579,,,0.988732,,,,
4,166595,,,0.984933,,,,
5,172955,,,0.974224,,,,
6,190684,,,0.950324,,,,
7,256699,,,0.901421,,,,
8,343585,,,0.81036,,,,
9,491865,,,0.67283,,,,
10,705213,,,0.493404,,,,
11,954071,,,0.304635,,,,
12,1175205,,,0.149127,,,,
13,1322463,,,0.054512,,,,
14,1391615,,,0.0129618,,,,
0,1447258,,,,0.618416,,,
1,1374632,,,,0.626114,,,
2,1314016,,,,0.631115,,,
3,1262432,,,,0.636329,,,
4,1218339,,,,0.643797,,,
5,1179869,,,,0.652663,,,
6,1146096,,,,0.65819,,,
7,1116338,,,,0.664408,,,
8,1089976,,,,0.670066,,,
9,1066151,,,,0.677369,,,
0,164046,,,,,0.990131,,
1,176550,,,,,0.990131,,
2,189046,,,,,0.988963,,
3,201550,,,,,0.988963,,
4,214046,,,,,0.963927,,
5,250545,,,,,0.949979,,
6,263041,,,,,0.942034,,
7,275545,,,,,0.937412,,
8,288041,,,,,0.935125,,
0,164046,,,,,,0.990131,
0,1415094,,,,,,,6.5796e-05
