,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,0.999522,,,,,,
2,262534,0.993122,,,,,,
3,387534,0.963015,,,,,,
4,512534,0.905604,,,,,,
5,637534,0.830728,,,,,,
6,762534,0.754338,,,,,,
7,887534,0.692294,,,,,,
0,1415123,,0.0,,,,,
1,1284759,,0.984955,,,,,
2,1083462,,0.999952,,,,,
3,906268,,0.999952,,,,,
4,701548,,0.999952,,,,,
5,493226,,0.999952,,,,,
6,328518,,0.999952,,,,,
7,182247,,0.999952,,,,,
8,164072,,0.999952,,,,,
9,164070,,0.999952,,,,,
10,164070,,0.999952,,,,,
0,164070,,,0.999952,,,,
1,164070,,,0.999952,,,,
2,164149,,,0.999299,,,,
3,164579,,,0.997835,,,,
4,166595,,,0.992581,,,,
5,172955,,,0.980353,,,,
6,190684,,,0.953718,,,,
7,256699,,,0.90086,,,,
8,343585,,,0.805939,,,,
9,491865,,,0.665929,,,,
10,705213,,,0.487518,,,,
11,954071,,,0.299013,,,,
12,1175205,,,0.145486,,,,
13,1322463,,,0.0523484,,,,
14,1391615,,,0.0127209,,,,
0,1447258,,,,0.609696,,,
1,1374632,,,,0.620872,,,
2,1314016,,,,0.626922,,,
3,1262432,,,,0.630966,,,
4,1218339,,,,0.639452,,,
5,1179869,,,,0.645868,,,
6,1146096,,,,0.650677,,,
7,1116338,,,,0.658685,,,
8,1089976,,,,0.665563,,,
9,1066151,,,,0.669495,,,
0,164046,,,,,0.999952,,
1,176550,,,,,0.999952,,
2,189046,,,,,0.999952,,
3,201550,,,,,0.999952,,
4,214046,,,,,0.999586,,
5,250545,,,,,0.999443,,
6,263041,,,,,0.999252,,
7,275545,,,,,0.999204,,
8,288041,,,,,0.999188,,
0,164046,,,,,,0.999952,
0,1415094,,,,,,,3.18421e-05
