,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.902447,,,,,,
1,137534,0.00533069,,,,,,
2,262534,0.000950124,,,,,,
3,387534,0.000400052,,,,,,
4,512534,0.000250033,,,,,,
5,637534,0.000190025,,,,,,
6,762534,0.000190025,,,,,,
7,887534,0.000160021,,,,,,
0,554908,,0.0,,,,,
1,538310,,0.0,,,,,
2,508817,,0.0,,,,,
3,382650,,0.0,,,,,
4,324777,,1.00013e-05,,,,,
5,249656,,1.00013e-05,,,,,
6,234544,,0.000120016,,,,,
7,231873,,0.000830108,,,,,
8,231570,,0.00366048,,,,,
9,231017,,0.0500365,,,,,
10,231017,,0.0500365,,,,,
0,231017,,,0.0500365,,,,
1,231017,,,0.0500365,,,,
2,231380,,,0.0500365,,,,
3,232906,,,0.0500365,,,,
4,236546,,,0.0500365,,,,
5,256551,,,0.0500265,,,,
6,288966,,,0.0500265,,,,
7,330622,,,0.0499765,,,,
8,377730,,,0.0499565,,,,
9,443374,,,0.0498365,,,,
10,493268,,,0.0495464,,,,
11,525063,,,0.0489964,,,,
12,560842,,,0.0482863,,,,
13,569949,,,0.045956,,,,
14,553442,,,0.0400752,,,,
0,575967,,,,0.000730095,,,
1,546855,,,,0.000670087,,,
2,522724,,,,0.000660086,,,
3,502065,,,,0.000700091,,,
4,484414,,,,0.00069009,,,
5,469183,,,,0.000710092,,,
6,455569,,,,0.000730095,,,
7,443601,,,,0.000680088,,,
8,432920,,,,0.000720094,,,
9,423526,,,,0.000670087,,,
0,452986,,,,,0.00432056,,
1,465498,,,,,0.00432056,,
2,477994,,,,,0.00432056,,
3,490498,,,,,0.00432056,,
4,502994,,,,,0.00219028,,
5,515490,,,,,0.00123016,,
6,527994,,,,,0.000550072,,
7,540498,,,,,0.00023003,,
8,552994,,,,,0.000130017,,
0,452986,,,,,,0.00432056,
0,554911,,,,,,,0.0
