,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,
1,137534,0.329659,,,,,,
2,262534,0.149873,,,,,,
3,387534,0.0827059,,,,,,
4,512534,0.0537152,,,,,,
5,637534,0.0373828,,,,,,
6,762534,0.0271838,,,,,,
7,887534,0.0207794,,,,,,
0,1415123,,5.01917e-05,,,,,
1,1284759,,5.01917e-05,,,,,
2,1083462,,0.000140537,,,,,
3,906268,,0.000381457,,,,,
4,701548,,0.00134514,,,,,
5,493226,,0.00757895,,,,,
6,328518,,0.0333373,,,,,
7,182247,,0.152372,,,,,
8,164072,,0.19364,,,,,
9,164070,,0.19378,,,,,
10,164070,,0.19378,,,,,
0,164070,,,0.19378,,,,
1,164070,,,0.19378,,,,
2,164149,,,0.1937,,,,
3,164579,,,0.193519,,,,
4,166595,,,0.192736,,,,
5,172955,,,0.19114,,,,
6,190684,,,0.187265,,,,
7,256699,,,0.179666,,,,
8,343585,,,0.163816,,,,
9,491865,,,0.139563,,,,
10,705213,,,0.105864,,,,
11,954071,,,0.0677187,,,,
12,1175205,,,0.0349535,,,,
13,1322463,,,0.0136522,,,,
14,1391615,,,0.00319219,,,,
0,1447258,,,,0.0305567,,,
1,1374632,,,,0.0308478,,,
2,1314016,,,,0.0311992,,,
3,1262432,,,,0.0313698,,,
4,1218339,,,,0.0317714,,,
5,1179869,,,,0.0321428,,,
6,1146096,,,,0.0321327,,,
7,1116338,,,,0.0320625,,,
8,1089976,,,,0.0328756,,,
9,1066151,,,,0.0331366,,,
0,164046,,,,,0.19377,,
1,176550,,,,,0.19377,,
2,189046,,,,,0.1937,,
3,201550,,,,,0.1937,,
4,214046,,,,,0.0991086,,
5,250545,,,,,0.0524604,,
6,263041,,,,,0.0279166,,
7,275545,,,,,0.0145656,,
8,288041,,,,,0.00813106,,
0,164046,,,,,,0.19377,
0,1415094,,,,,,,7.02684e-05
