,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,25034,1.0,,,,,,,,
2,37534,1.0,,,,,,,,
3,50034,1.0,,,,,,,,
4,62534,1.0,,,,,,,,
5,75034,1.0,,,,,,,,
6,87534,1.0,,,,,,,,
7,100034,1.0,,,,,,,,
0,83462,,0.0342398,,,,,,,
1,125135,,0.00262123,,,,,,,
2,166803,,0.000163827,,,,,,,
3,208470,,0.0,,,,,,,
4,250139,,0.0,,,,,,,
5,291807,,0.0,,,,,,,
0,59659,,,0.0583224,,,,,,
1,89417,,,0.00311271,,,,,,
2,119187,,,0.000163827,,,,,,
3,148952,,,0.0,,,,,,
4,178714,,,0.0,,,,,,
5,208480,,,0.0,,,,,,
0,35847,,,,0.159731,,,,,
1,53705,,,,0.00917431,,,,,
2,71570,,,,0.000491481,,,,,
3,89426,,,,0.0,,,,,
4,107284,,,,0.0,,,,,
5,125147,,,,0.0,,,,,
0,75022,,,,,0.0,,,,
1,73359,,,,,0.153834,,,,
2,70051,,,,,0.153834,,,,
3,51988,,,,,0.547018,,,,
4,47890,,,,,0.547018,,,,
5,25720,,,,,0.854522,,,,
6,19308,,,,,0.854522,,,,
7,18334,,,,,0.854522,,,,
8,17772,,,,,0.858781,,,,
9,17763,,,,,0.858781,,,,
10,17763,,,,,0.858781,,,,
0,17763,,,,,,0.858781,,,
1,17763,,,,,,0.858781,,,
2,17764,,,,,,0.858781,,,
3,17764,,,,,,0.858781,,,
4,17767,,,,,,0.858617,,,
5,17823,,,,,,0.857143,,,
6,18005,,,,,,0.853375,,,
7,18610,,,,,,0.841252,,,
8,20886,,,,,,0.79964,,,
9,30855,,,,,,0.626147,,,
10,47536,,,,,,0.369102,,,
11,62703,,,,,,0.155799,,,
12,70918,,,,,,0.048329,,,
13,74107,,,,,,0.00982962,,,
14,74832,,,,,,0.00196592,,,
0,59784,,,,,,,0.153834,,
1,61048,,,,,,,0.153834,,
2,62296,,,,,,,0.153834,,
3,63544,,,,,,,0.153834,,
4,64792,,,,,,,0.153834,,
5,66048,,,,,,,0.153834,,
6,67296,,,,,,,0.153834,,
7,68544,,,,,,,0.153834,,
8,69792,,,,,,,0.153834,,
0,59784,,,,,,,,0.153834,
0,74990,,,,,,,,,0.0
