,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.217236,,,,,,,,
1,25034,0.163387,,,,,,,,
2,37534,0.138408,,,,,,,,
3,50034,0.111375,,,,,,,,
0,81401,,0.166955,,,,,,,
1,122046,,0.107591,,,,,,,
2,162687,,0.102292,,,,,,,
3,203327,,0.101103,,,,,,,
4,243968,,0.100995,,,,,,,
5,284608,,0.100995,,,,,,,
0,57302,,,0.208045,,,,,,
1,85889,,,0.110727,,,,,,
2,114482,,,0.102401,,,,,,
3,143071,,,0.101103,,,,,,
4,171663,,,0.100995,,,,,,
5,200252,,,0.100995,,,,,,
0,33202,,,,0.378893,,,,,
1,49736,,,,0.126406,,,,,
2,66278,,,,0.104022,,,,,
3,82818,,,,0.101103,,,,,
4,99353,,,,0.100995,,,,,
5,115892,,,,0.100995,,,,,
0,87597,,,,,0.100995,,,,
1,76452,,,,,0.11981,,,,
2,56748,,,,,0.185229,,,,
3,48028,,,,,0.227941,,,,
4,34754,,,,,0.309689,,,,
5,26662,,,,,0.389598,,,,
6,24463,,,,,0.420415,,,,
7,22638,,,,,0.455234,,,,
8,22466,,,,,0.46064,,,,
9,22453,,,,,0.461073,,,,
10,22453,,,,,0.461073,,,,
0,22453,,,,,,0.461073,,,
1,22453,,,,,,0.461073,,,
2,23271,,,,,,0.456531,,,
3,25099,,,,,,0.442366,,,
4,28030,,,,,,0.418036,,,
5,32788,,,,,,0.382353,,,
6,39366,,,,,,0.34029,,,
7,47200,,,,,,0.302011,,,
8,56502,,,,,,0.260597,,,
9,65808,,,,,,0.216155,,,
10,74256,,,,,,0.171821,,,
11,81187,,,,,,0.135272,,,
12,85552,,,,,,0.114295,,,
13,87364,,,,,,0.103157,,,
14,87597,,,,,,0.100995,,,
0,22835,,,,,,,0.454152,,
1,23971,,,,,,,0.454152,,
2,25099,,,,,,,0.454152,,
3,26219,,,,,,,0.387868,,
4,27347,,,,,,,0.387868,,
5,28483,,,,,,,0.330558,,
6,29603,,,,,,,0.271194,,
7,30731,,,,,,,0.240376,,
8,31859,,,,,,,0.222643,,
0,22835,,,,,,,,0.454152,
0,87565,,,,,,,,,0.100995
