,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.942893,,,,,,,,
1,25034,0.933235,,,,,,,,
2,37534,0.922948,,,,,,,,
3,50034,0.905732,,,,,,,,
4,62534,0.896494,,,,,,,,
5,75034,0.885996,,,,,,,,
0,81401,,0.285324,,,,,,,
1,122046,,0.233466,,,,,,,
2,162687,,0.226958,,,,,,,
3,203327,,0.226328,,,,,,,
4,243968,,0.226328,,,,,,,
5,284608,,0.226118,,,,,,,
0,57302,,,0.311148,,,,,,
1,85889,,,0.237245,,,,,,
2,114482,,,0.227168,,,,,,
3,143071,,,0.226328,,,,,,
4,171663,,,0.226328,,,,,,
5,200252,,,0.226118,,,,,,
0,33202,,,,0.471132,,,,,
1,49736,,,,0.250052,,,,,
2,66278,,,,0.228218,,,,,
3,82818,,,,0.226538,,,,,
4,99353,,,,0.226328,,,,,
5,115892,,,,0.226118,,,,,
0,87597,,,,,0.226118,,,,
1,76452,,,,,0.984254,,,,
2,56748,,,,,0.984464,,,,
3,48028,,,,,0.989083,,,,
4,34754,,,,,0.989083,,,,
5,26662,,,,,0.989083,,,,
6,24463,,,,,0.989083,,,,
7,22638,,,,,0.989083,,,,
8,22466,,,,,0.989083,,,,
9,22453,,,,,0.989083,,,,
10,22453,,,,,0.989083,,,,
0,22453,,,,,,0.989083,,,
1,22453,,,,,,0.989083,,,
2,23271,,,,,,0.95696,,,
3,25099,,,,,,0.893135,,,
4,28030,,,,,,0.828469,,,
5,32788,,,,,,0.748268,,,
6,39366,,,,,,0.658619,,,
7,47200,,,,,,0.567919,,,
8,56502,,,,,,0.468822,,,
9,65808,,,,,,0.383792,,,
10,74256,,,,,,0.317657,,,
11,81187,,,,,,0.268318,,,
12,85552,,,,,,0.238085,,,
13,87364,,,,,,0.227588,,,
14,87597,,,,,,0.226118,,,
0,22835,,,,,,,0.984464,,
1,23971,,,,,,,0.984464,,
2,25099,,,,,,,0.984464,,
3,26219,,,,,,,0.854503,,
4,27347,,,,,,,0.854503,,
5,28483,,,,,,,0.842326,,
6,29603,,,,,,,0.831199,,
7,30731,,,,,,,0.823431,,
8,31859,,,,,,,0.818602,,
0,22835,,,,,,,,0.984464,
0,87565,,,,,,,,,0.226118
