,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.736461,,,,,,,,,,
1,25034,0.736461,,,,,,,,,,
2,37534,0.736461,,,,,,,,,,
3,50034,0.736461,,,,,,,,,,
4,62534,0.736461,,,,,,,,,,
5,75034,0.736461,,,,,,,,,,
6,87534,0.736461,,,,,,,,,,
7,100034,0.736461,,,,,,,,,,
0,59659,,0.0609808,,,,,,,,,
1,89417,,0.00405117,,,,,,,,,
2,119187,,0.00021322,,,,,,,,,
3,148952,,0.0,,,,,,,,,
4,178714,,0.0,,,,,,,,,
5,208480,,0.0,,,,,,,,,
0,75022,,,0.0,,,,,,,,
1,73359,,,0.401279,,,,,,,,
2,70051,,,0.401279,,,,,,,,
3,51988,,,0.669296,,,,,,,,
4,47890,,,0.671002,,,,,,,,
5,25720,,,0.753945,,,,,,,,
6,19308,,,0.824733,,,,,,,,
7,18334,,,0.840085,,,,,,,,
8,17772,,,0.85032,,,,,,,,
9,17763,,,0.851173,,,,,,,,
10,17763,,,0.851173,,,,,,,,
0,17763,,,,0.851173,,,,,,,
1,17763,,,,0.851173,,,,,,,
2,17764,,,,0.851173,,,,,,,
3,17764,,,,0.851173,,,,,,,
4,17767,,,,0.850533,,,,,,,
5,17823,,,,0.848401,,,,,,,
6,18005,,,,0.84371,,,,,,,
7,18610,,,,0.829851,,,,,,,
8,20886,,,,0.781876,,,,,,,
9,30855,,,,0.628358,,,,,,,
10,47536,,,,0.377612,,,,,,,
11,62703,,,,0.149041,,,,,,,
12,70918,,,,0.0477612,,,,,,,
13,74107,,,,0.0104478,,,,,,,
14,74832,,,,0.00277186,,,,,,,
0,59784,,,,,0.437953,,,,,,
0,97635,,,,,,0.736461,,,,,
1,70090,,,,,,0.736461,,,,,
2,60908,,,,,,0.736461,,,,,
3,56317,,,,,,0.736461,,,,,
4,53562,,,,,,0.736461,,,,,
0,92432,,,,,,,0.736461,,,,
1,64887,,,,,,,0.736461,,,,
2,55705,,,,,,,0.736461,,,,
3,51114,,,,,,,0.736461,,,,
4,48359,,,,,,,0.736461,,,,
0,113611,,,,,,,,0.736461,,,
1,77271,,,,,,,,0.736461,,,
2,65158,,,,,,,,0.736461,,,
3,59102,,,,,,,,0.736461,,,
4,55468,,,,,,,,0.736461,,,
0,108994,,,,,,,,,0.736461,,
1,72654,,,,,,,,,0.736461,,
2,60541,,,,,,,,,0.736461,,
3,54485,,,,,,,,,0.736461,,
4,50851,,,,,,,,,0.736461,,
0,59784,,,,,0.437953,,,,,,
1,61048,,,,,0.437953,,,,,,
2,62296,,,,,0.437953,,,,,,
3,63544,,,,,0.437953,,,,,,
4,64792,,,,,0.437953,,,,,,
5,66048,,,,,0.428571,,,,,,
6,67296,,,,,0.420896,,,,,,
7,68544,,,,,0.414925,,,,,,
8,69792,,,,,0.414072,,,,,,
0,59784,,,,,,,,,,0.437953,
0,74990,,,,,,,,,,,0.0
