,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.998001,,,,,,,,,,
1,25034,0.998001,,,,,,,,,,
2,37534,0.998001,,,,,,,,,,
3,50034,0.998001,,,,,,,,,,
4,62534,0.998001,,,,,,,,,,
5,75034,0.998001,,,,,,,,,,
6,87534,0.998001,,,,,,,,,,
7,100034,0.998001,,,,,,,,,,
0,52578,,0.998001,,,,,,,,,
1,78767,,0.993336,,,,,,,,,
2,104949,,0.96068,,,,,,,,,
3,131135,,0.806731,,,,,,,,,
4,157321,,0.265911,,,,,,,,,
5,183504,,0.0296568,,,,,,,,,
0,89569,,,0.0,,,,,,,,
1,78085,,,0.197601,,,,,,,,
2,58051,,,0.499167,,,,,,,,
3,48951,,,0.627791,,,,,,,,
4,35676,,,0.768077,,,,,,,,
5,27551,,,0.836055,,,,,,,,
6,25331,,,0.851383,,,,,,,,
7,23514,,,0.85938,,,,,,,,
8,23346,,,0.859713,,,,,,,,
9,23333,,,0.859713,,,,,,,,
10,23333,,,0.859713,,,,,,,,
0,23333,,,,0.859713,,,,,,,
1,23333,,,,0.859713,,,,,,,
2,24183,,,,0.848717,,,,,,,
3,26169,,,,0.813062,,,,,,,
4,29181,,,,0.76108,,,,,,,
5,34164,,,,0.684439,,,,,,,
6,40921,,,,0.588137,,,,,,,
7,48890,,,,0.483172,,,,,,,
8,58270,,,,0.358214,,,,,,,
9,67698,,,,0.23992,,,,,,,
10,76186,,,,0.140287,,,,,,,
11,83117,,,,0.0643119,,,,,,,
12,87508,,,,0.0203266,,,,,,,
13,89336,,,,0.00199933,,,,,,,
14,89569,,,,0.0,,,,,,,
0,25948,,,,,0.827058,,,,,,
0,92662,,,,,,0.875708,,,,,
1,72933,,,,,,0.875708,,,,,
2,66357,,,,,,0.875708,,,,,
3,63069,,,,,,0.875708,,,,,
4,61096,,,,,,0.875708,,,,,
0,85571,,,,,,,0.924692,,,,
1,65842,,,,,,,0.924692,,,,
2,59266,,,,,,,0.924692,,,,
3,55978,,,,,,,0.924692,,,,
4,54005,,,,,,,0.924692,,,,
0,122211,,,,,,,,0.903366,,,
1,86216,,,,,,,,0.903366,,,
2,74218,,,,,,,,0.903366,,,
3,68219,,,,,,,,0.903366,,,
4,64620,,,,,,,,0.903366,,,
0,116205,,,,,,,,,0.941686,,
1,80210,,,,,,,,,0.941686,,
2,68212,,,,,,,,,0.941686,,
3,62213,,,,,,,,,0.941686,,
4,58614,,,,,,,,,0.941686,,
0,25948,,,,,0.827058,,,,,,
1,27212,,,,,0.827058,,,,,,
2,28460,,,,,0.827058,,,,,,
3,29708,,,,,0.826724,,,,,,
4,30956,,,,,0.826724,,,,,,
5,32212,,,,,0.78907,,,,,,
6,33460,,,,,0.756415,,,,,,
7,34708,,,,,0.740087,,,,,,
8,35956,,,,,0.730423,,,,,,
0,25948,,,,,,,,,,0.827058,
0,90226,,,,,,,,,,,0.0133289
