,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.129362,,,,,,,,,,
1,25034,0.0522909,,,,,,,,,,
0,59659,,0.0112269,,,,,,,,,
1,89417,,0.00171943,,,,,,,,,
2,119187,,0.000202286,,,,,,,,,
3,148952,,0.0,,,,,,,,,
4,178714,,0.0,,,,,,,,,
5,208480,,0.0,,,,,,,,,
0,75022,,,0.0,,,,,,,,
1,73359,,,0.0,,,,,,,,
2,70051,,,0.0,,,,,,,,
3,51988,,,0.0,,,,,,,,
4,47890,,,0.0,,,,,,,,
5,25720,,,0.000101143,,,,,,,,
6,19308,,,0.00171943,,,,,,,,
7,18334,,,0.00879943,,,,,,,,
8,17772,,,0.0733286,,,,,,,,
9,17763,,,0.158997,,,,,,,,
10,17763,,,0.158997,,,,,,,,
0,17763,,,,0.158997,,,,,,,
1,17763,,,,0.158997,,,,,,,
2,17764,,,,0.158997,,,,,,,
3,17764,,,,0.158997,,,,,,,
4,17767,,,,0.158997,,,,,,,
5,17823,,,,0.158997,,,,,,,
6,18005,,,,0.158997,,,,,,,
7,18610,,,,0.158997,,,,,,,
8,20886,,,,0.158997,,,,,,,
9,30855,,,,0.158997,,,,,,,
10,47536,,,,0.158896,,,,,,,
11,62703,,,,0.157783,,,,,,,
12,70918,,,,0.152321,,,,,,,
13,74107,,,,0.134925,,,,,,,
14,74832,,,,0.0951755,,,,,,,
0,59784,,,,,0.0357034,,,,,,
0,97635,,,,,,0.0449075,,,,,
1,70090,,,,,,0.0449075,,,,,
2,60908,,,,,,0.0449075,,,,,
3,56317,,,,,,0.0449075,,,,,
4,53562,,,,,,0.0449075,,,,,
0,92432,,,,,,,0.0782846,,,,
1,64887,,,,,,,0.0782846,,,,
2,55705,,,,,,,0.0782846,,,,
3,51114,,,,,,,0.0782846,,,,
4,48359,,,,,,,0.0782846,,,,
0,113611,,,,,,,,0.0452109,,,
1,77271,,,,,,,,0.0452109,,,
2,65158,,,,,,,,0.0452109,,,
3,59102,,,,,,,,0.0452109,,,
4,55468,,,,,,,,0.0452109,,,
0,108994,,,,,,,,,0.0791949,,
1,72654,,,,,,,,,0.0791949,,
2,60541,,,,,,,,,0.0791949,,
3,54485,,,,,,,,,0.0791949,,
4,50851,,,,,,,,,0.0791949,,
0,59784,,,,,0.0357034,,,,,,
1,61048,,,,,0.0357034,,,,,,
2,62296,,,,,0.0357034,,,,,,
3,63544,,,,,0.0357034,,,,,,
4,64792,,,,,0.0357034,,,,,,
5,66048,,,,,0.0272074,,,,,,
6,67296,,,,,0.0145646,,,,,,
7,68544,,,,,0.00728229,,,,,,
8,69792,,,,,0.00384343,,,,,,
0,59784,,,,,,,,,,0.0357034,
0,74990,,,,,,,,,,,0.0
