,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.624561,,,,,,,,,,
1,25034,0.410587,,,,,,,,,,
2,37534,0.311535,,,,,,,,,,
3,50034,0.257855,,,,,,,,,,
4,62534,0.220684,,,,,,,,,,
0,54559,,0.985834,,,,,,,,,
1,81766,,0.785494,,,,,,,,,
2,108981,,0.300564,,,,,,,,,
3,136188,,0.00575141,,,,,,,,,
4,163399,,0.00106508,,,,,,,,,
5,190611,,0.000213015,,,,,,,,,
0,160494,,,0.0,,,,,,,,
1,147294,,,0.0,,,,,,,,
2,120898,,,0.0,,,,,,,,
3,107682,,,0.0,,,,,,,,
4,75730,,,0.0,,,,,,,,
5,49344,,,0.000958569,,,,,,,,
6,36317,,,0.0107573,,,,,,,,
7,19659,,,0.426989,,,,,,,,
8,19658,,,0.427735,,,,,,,,
9,19658,,,0.427735,,,,,,,,
10,19658,,,0.427735,,,,,,,,
0,19658,,,,0.427735,,,,,,,
1,19658,,,,0.427735,,,,,,,
2,19658,,,,0.427735,,,,,,,
3,19658,,,,0.427735,,,,,,,
4,19658,,,,0.427735,,,,,,,
5,19658,,,,0.427735,,,,,,,
6,19658,,,,0.427735,,,,,,,
7,19658,,,,0.427735,,,,,,,
8,19780,,,,0.427735,,,,,,,
9,21004,,,,0.427735,,,,,,,
10,31443,,,,0.427096,,,,,,,
11,107835,,,,0.370114,,,,,,,
12,160478,,,,0.000745553,,,,,,,
13,160494,,,,0.0,,,,,,,
14,160494,,,,0.0,,,,,,,
0,19610,,,,,0.427735,,,,,,
0,132700,,,,,,0.223027,,,,,
1,113950,,,,,,0.223027,,,,,
2,107699,,,,,,0.223027,,,,,
3,104575,,,,,,0.223027,,,,,
4,102700,,,,,,0.223027,,,,,
0,119349,,,,,,,0.33241,,,,
1,100599,,,,,,,0.33241,,,,
2,94348,,,,,,,0.33241,,,,
3,91224,,,,,,,0.33241,,,,
4,89349,,,,,,,0.33241,,,,
0,166762,,,,,,,,0.227713,,,
1,129262,,,,,,,,0.227713,,,
2,116761,,,,,,,,0.227713,,,
3,110512,,,,,,,,0.227713,,,
4,106762,,,,,,,,0.227713,,,
0,154661,,,,,,,,,0.335286,,
1,117161,,,,,,,,,0.335286,,
2,104660,,,,,,,,,0.335286,,
3,98411,,,,,,,,,0.335286,,
4,94661,,,,,,,,,0.335286,,
0,19610,,,,,0.427735,,,,,,
1,20866,,,,,0.427735,,,,,,
2,22114,,,,,0.427735,,,,,,
3,23362,,,,,0.427628,,,,,,
4,24610,,,,,0.427628,,,,,,
5,25866,,,,,0.297689,,,,,,
6,27114,,,,,0.15859,,,,,,
7,28362,,,,,0.0882948,,,,,,
8,29610,,,,,0.0434551,,,,,,
0,19610,,,,,,,,,,0.427735,
0,160462,,,,,,,,,,,0.0
