,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.220401,,,,,,,,,,
1,25034,0.091783,,,,,,,,,,
2,37534,0.0604129,,,,,,,,,,
0,52578,,0.999899,,,,,,,,,
1,78767,,0.997369,,,,,,,,,
2,104949,,0.966201,,,,,,,,,
3,131135,,0.801457,,,,,,,,,
4,157321,,0.226472,,,,,,,,,
5,183504,,0.017709,,,,,,,,,
0,89569,,,0.0,,,,,,,,
1,78085,,,0.0,,,,,,,,
2,58051,,,0.0,,,,,,,,
3,48951,,,0.0,,,,,,,,
4,35676,,,0.0,,,,,,,,
5,27551,,,0.000101194,,,,,,,,
6,25331,,,0.00121433,,,,,,,,
7,23514,,,0.0493827,,,,,,,,
8,23346,,,0.165857,,,,,,,,
9,23333,,,0.286784,,,,,,,,
10,23333,,,0.286784,,,,,,,,
0,23333,,,,0.286784,,,,,,,
1,23333,,,,0.286784,,,,,,,
2,24183,,,,0.286784,,,,,,,
3,26169,,,,0.286784,,,,,,,
4,29181,,,,0.286784,,,,,,,
5,34164,,,,0.286784,,,,,,,
6,40921,,,,0.286784,,,,,,,
7,48890,,,,0.286784,,,,,,,
8,58270,,,,0.286784,,,,,,,
9,67698,,,,0.286784,,,,,,,
10,76186,,,,0.285974,,,,,,,
11,83117,,,,0.281218,,,,,,,
12,87508,,,,0.252985,,,,,,,
13,89336,,,,0.132362,,,,,,,
14,89569,,,,0.0,,,,,,,
0,25948,,,,,0.286582,,,,,,
0,92662,,,,,,0.0649666,,,,,
1,72933,,,,,,0.0649666,,,,,
2,66357,,,,,,0.0649666,,,,,
3,63069,,,,,,0.0649666,,,,,
4,61096,,,,,,0.0649666,,,,,
0,85571,,,,,,,0.107974,,,,
1,65842,,,,,,,0.107974,,,,
2,59266,,,,,,,0.107974,,,,
3,55978,,,,,,,0.107974,,,,
4,54005,,,,,,,0.107974,,,,
0,122211,,,,,,,,0.0645618,,,
1,86216,,,,,,,,0.0645618,,,
2,74218,,,,,,,,0.0645618,,,
3,68219,,,,,,,,0.0645618,,,
4,64620,,,,,,,,0.0645618,,,
0,116205,,,,,,,,,0.108278,,
1,80210,,,,,,,,,0.108278,,
2,68212,,,,,,,,,0.108278,,
3,62213,,,,,,,,,0.108278,,
4,58614,,,,,,,,,0.108278,,
0,25948,,,,,0.286582,,,,,,
1,27212,,,,,0.286582,,,,,,
2,28460,,,,,0.286582,,,,,,
3,29708,,,,,0.286582,,,,,,
4,30956,,,,,0.286582,,,,,,
5,32212,,,,,0.205525,,,,,,
6,33460,,,,,0.106962,,,,,,
7,34708,,,,,0.0564663,,,,,,
8,35956,,,,,0.0280308,,,,,,
0,25948,,,,,,,,,,0.286582,
0,90226,,,,,,,,,,,0.0
