,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=1,Layered CHaREQ h=14 b=2,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,SuRF Base,FST
0,12534,0.998874,,,,,,,,,,
1,25034,0.998874,,,,,,,,,,
2,37534,0.998874,,,,,,,,,,
3,50034,0.998874,,,,,,,,,,
4,62534,0.998874,,,,,,,,,,
5,75034,0.998874,,,,,,,,,,
6,87534,0.998874,,,,,,,,,,
7,100034,0.998874,,,,,,,,,,
0,55106,,0.949606,,,,,,,,,
1,82586,,0.361768,,,,,,,,,
2,110077,,0.0413851,,,,,,,,,
3,137558,,0.00563063,,,,,,,,,
4,165047,,0.000844595,,,,,,,,,
5,192529,,0.000563063,,,,,,,,,
0,127517,,,0.0,,,,,,,,
1,114321,,,0.1692,,,,,,,,
2,84734,,,0.467905,,,,,,,,
3,71585,,,0.597128,,,,,,,,
4,46301,,,0.821791,,,,,,,,
5,28369,,,0.932995,,,,,,,,
6,24684,,,0.949887,,,,,,,,
7,22986,,,0.953547,,,,,,,,
8,22914,,,0.954392,,,,,,,,
9,22836,,,0.954392,,,,,,,,
10,22836,,,0.954392,,,,,,,,
0,22836,,,,0.954392,,,,,,,
1,22836,,,,0.954392,,,,,,,
2,22842,,,,0.954392,,,,,,,
3,22866,,,,0.953829,,,,,,,
4,23008,,,,0.952984,,,,,,,
5,23824,,,,0.945101,,,,,,,
6,26649,,,,0.911318,,,,,,,
7,37442,,,,0.7942,,,,,,,
8,59846,,,,0.576295,,,,,,,
9,92128,,,,0.298705,,,,,,,
10,113072,,,,0.110923,,,,,,,
11,123212,,,,0.027027,,,,,,,
12,126209,,,,0.00647523,,,,,,,
13,126945,,,,0.000281532,,,,,,,
14,127369,,,,0.0,,,,,,,
0,22813,,,,,0.95411,,,,,,
0,113103,,,,,,0.865709,,,,,
1,94351,,,,,,0.865709,,,,,
2,88100,,,,,,0.865709,,,,,
3,84975,,,,,,0.865709,,,,,
4,83100,,,,,,0.865709,,,,,
0,102655,,,,,,,0.912162,,,,
1,83903,,,,,,,0.912162,,,,
2,77652,,,,,,,0.912162,,,,
3,74527,,,,,,,0.912162,,,,
4,72652,,,,,,,0.912162,,,,
0,147158,,,,,,,,0.884854,,,
1,109660,,,,,,,,0.884854,,,
2,97161,,,,,,,,0.884854,,,
3,90911,,,,,,,,0.884854,,,
4,87161,,,,,,,,0.884854,,,
0,137960,,,,,,,,,0.925957,,
1,100462,,,,,,,,,0.925957,,
2,87963,,,,,,,,,0.925957,,
3,81713,,,,,,,,,0.925957,,
4,77963,,,,,,,,,0.925957,,
0,22813,,,,,0.95411,,,,,,
1,24077,,,,,0.95411,,,,,,
2,25325,,,,,0.95411,,,,,,
3,26573,,,,,0.95411,,,,,,
4,27821,,,,,0.95411,,,,,,
5,29069,,,,,0.936374,,,,,,
6,30317,,,,,0.913007,,,,,,
7,31573,,,,,0.897804,,,,,,
8,32821,,,,,0.891047,,,,,,
0,22813,,,,,,,,,,0.95411,
0,127485,,,,,,,,,,,0.0
