,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.969067,,,,,,,
1,137534,0.3449,,,,,,,
0,3750381,,0.485598,,,,,,
1,5000369,,0.300493,,,,,,
2,6250363,,0.221284,,,,,,
3,7500366,,0.163851,,,,,,
4,8750381,,0.119704,,,,,,
5,10000369,,0.0895682,,,,,,
6,11250396,,0.0644451,,,,,,
7,12500373,,0.0476529,,,,,,
0,625219,,,0.999,,,,,
1,1875218,,,0.417415,,,,,
2,3125220,,,0.225094,,,,,
3,4375215,,,0.124949,,,,,
4,5625220,,,0.0698348,,,,,
0,590284,,,,0.0758476,,,,
1,491425,,,,0.137525,,,,
2,368268,,,,0.227137,,,,
3,290820,,,,0.310012,,,,
4,237296,,,,0.380382,,,,
5,207426,,,,0.428731,,,,
6,197436,,,,0.45226,,,,
7,194398,,,,0.460345,,,,
8,193953,,,,0.462562,,,,
9,193953,,,,0.462562,,,,
10,193953,,,,0.462562,,,,
0,193953,,,,,0.462562,,,
1,193953,,,,,0.462562,,,
2,211293,,,,,0.43767,,,
3,241809,,,,,0.399638,,,
4,282354,,,,,0.353506,,,
5,334721,,,,,0.293828,,,
6,388329,,,,,0.237699,,,
7,441302,,,,,0.189018,,,
8,487683,,,,,0.150507,,,
9,527699,,,,,0.121037,,,
10,555750,,,,,0.0998116,,,
11,573068,,,,,0.0875254,,,
12,582666,,,,,0.0810779,,,
13,587588,,,,,0.0776007,,,
14,589557,,,,,0.0763837,,,
0,239527,,,,,,0.455955,,
1,252031,,,,,,0.455955,,
2,264535,,,,,,0.455955,,
3,277039,,,,,,0.42692,,
4,289527,,,,,,0.42692,,
5,302031,,,,,,0.368415,,
6,314535,,,,,,0.310562,,
7,327031,,,,,,0.280049,,
8,339527,,,,,,0.260939,,
0,239527,,,,,,,0.455955,
0,604661,,,,,,,,0.134352
