,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,
1,137534,0.994904,,,,,,,
2,262534,0.986182,,,,,,,
3,387534,0.982405,,,,,,,
4,512534,0.98035,,,,,,,
5,637534,0.979983,,,,,,,
6,762534,0.979966,,,,,,,
7,887534,0.979882,,,,,,,
0,3750257,,0.163899,,,,,,
1,5000247,,0.0894098,,,,,,
2,6250253,,0.0491244,,,,,,
3,7500235,,0.0269516,,,,,,
4,8750258,,0.0144199,,,,,,
5,10000256,,0.00721829,,,,,,
6,11250260,,0.00469523,,,,,,
7,12500257,,0.00220559,,,,,,
0,625155,,,0.939129,,,,,
1,1875158,,,0.175912,,,,,
2,3125158,,,0.0531346,,,,,
3,4375154,,,0.0172437,,,,,
4,5625161,,,0.00466181,,,,,
0,555487,,,,0.0,,,,
1,538850,,,,0.153756,,,,
2,509274,,,,0.160256,,,,
3,383498,,,,0.468788,,,,
4,326130,,,,0.498914,,,,
5,250852,,,,0.592651,,,,
6,235369,,,,0.602359,,,,
7,232388,,,,0.603596,,,,
8,232043,,,,0.603763,,,,
9,231610,,,,0.603796,,,,
10,231610,,,,0.603796,,,,
0,231610,,,,,0.603796,,,
1,231610,,,,,0.603796,,,
2,231984,,,,,0.601557,,,
3,233426,,,,,0.594991,,,
4,236874,,,,,0.584013,,,
5,256597,,,,,0.52635,,,
6,288614,,,,,0.449021,,,
7,329526,,,,,0.363872,,,
8,377850,,,,,0.278689,,,
9,442585,,,,,0.164951,,,
10,492726,,,,,0.0858842,,,
11,525672,,,,,0.0375117,,,
12,560808,,,,,0.0150548,,,
13,550738,,,,,0.00516308,,,
14,553982,,,,,0.00165419,,,
0,453618,,,,,,0.155444,,
1,466130,,,,,,0.155444,,
2,478626,,,,,,0.155444,,
3,491130,,,,,,0.155444,,
4,503626,,,,,,0.155444,,
5,516122,,,,,,0.154642,,
6,528626,,,,,,0.152854,,
7,541130,,,,,,0.152536,,
8,553626,,,,,,0.152302,,
0,453618,,,,,,,0.155444,
0,555580,,,,,,,,0.00083545
