,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.95514,,,,,,,
1,137534,0.116824,,,,,,,
2,262534,0.0660011,,,,,,,
0,3750257,,0.166151,,,,,,
1,5000247,,0.0914852,,,,,,
2,6250253,,0.049119,,,,,,
3,7500235,,0.0264087,,,,,,
4,8750258,,0.0140043,,,,,,
5,10000256,,0.00797872,,,,,,
6,11250260,,0.00411403,,,,,,
7,12500257,,0.00246218,,,,,,
0,625155,,,0.906053,,,,,
1,1875158,,,0.178264,,,,,
2,3125158,,,0.0539914,,,,,
3,4375154,,,0.0171314,,,,,
4,5625161,,,0.00485165,,,,,
0,555487,,,,0.0,,,,
1,538850,,,,0.0,,,,
2,509274,,,,0.0,,,,
3,383498,,,,1.0389e-05,,,,
4,326130,,,,0.000145445,,,,
5,250852,,,,0.00142329,,,,
6,235369,,,,0.00942279,,,,
7,232388,,,,0.0361016,,,,
8,232043,,,,0.0768887,,,,
9,231610,,,,0.136075,,,,
10,231610,,,,0.136075,,,,
0,231610,,,,,0.136075,,,
1,231610,,,,,0.136075,,,
2,231984,,,,,0.136075,,,
3,233426,,,,,0.136075,,,
4,236874,,,,,0.136064,,,
5,256597,,,,,0.135888,,,
6,288614,,,,,0.13569,,,
7,329526,,,,,0.134953,,,
8,377850,,,,,0.131649,,,
9,442585,,,,,0.127379,,,
10,492726,,,,,0.119296,,,
11,525672,,,,,0.108336,,,
12,560808,,,,,0.0960667,,,
13,550738,,,,,0.0533058,,,
14,553982,,,,,0.0252556,,,
0,453618,,,,,,0.0311149,,
1,466130,,,,,,0.0311149,,
2,478626,,,,,,0.0311149,,
3,491130,,,,,,0.0310838,,
4,503626,,,,,,0.0310838,,
5,516122,,,,,,0.0166431,,
6,528626,,,,,,0.00933968,,
7,541130,,,,,,0.00582821,,
8,553626,,,,,,0.00289852,,
0,453618,,,,,,,0.0311149,
0,555580,,,,,,,,0.0
