,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.999458,,,,,,,
1,137534,0.068172,,,,,,,
2,262534,0.0207746,,,,,,,
3,387534,0.0120073,,,,,,,
4,512534,0.00932901,,,,,,,
5,637534,0.00723249,,,,,,,
0,3750275,,0.818606,,,,,,
1,5000280,,0.632648,,,,,,
2,6250275,,0.412212,,,,,,
3,7500274,,0.292429,,,,,,
4,8750263,,0.181113,,,,,,
5,10000276,,0.111687,,,,,,
6,11250275,,0.0755951,,,,,,
7,12500270,,0.0465448,,,,,,
0,625172,,,0.998265,,,,,
1,1875166,,,0.756262,,,,,
2,3125170,,,0.351995,,,,,
3,4375163,,,0.148632,,,,,
4,5625157,,,0.0631564,,,,,
0,1267562,,,,8.02496e-05,,,,
1,1137230,,,,0.000110343,,,,
2,880815,,,,0.00108337,,,,
3,704637,,,,0.00602875,,,,
4,504111,,,,0.0233426,,,,
5,315511,,,,0.102709,,,,
6,212092,,,,0.311148,,,,
7,188976,,,,0.423938,,,,
8,188852,,,,0.424691,,,,
9,188852,,,,0.424691,,,,
10,188852,,,,0.424691,,,,
0,188852,,,,,0.424691,,,
1,188852,,,,,0.424691,,,
2,189276,,,,,0.424139,,,
3,191716,,,,,0.421982,,,
4,200012,,,,,0.417248,,,
5,221764,,,,,0.405722,,,
6,270850,,,,,0.384706,,,
7,364609,,,,,0.346819,,,
8,513881,,,,,0.288537,,,
9,709264,,,,,0.212892,,,
10,910434,,,,,0.130827,,,
11,1126420,,,,,0.063678,,,
12,1218718,,,,,0.0234529,,,
13,1255917,,,,,0.00595853,,,
14,1265775,,,,,0.000902808,,,
0,189141,,,,,,0.424099,,
1,201645,,,,,,0.424099,,
2,214141,,,,,,0.424099,,
3,226645,,,,,,0.424029,,
4,239141,,,,,,0.424029,,
5,251645,,,,,,0.288547,,
6,264141,,,,,,0.153879,,
7,276645,,,,,,0.0863686,,
8,289141,,,,,,0.0432746,,
0,189141,,,,,,,0.424099,
0,1267549,,,,,,,,0.000230718
