,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.994678,,,,,,,
1,137534,0.199567,,,,,,,
2,262534,0.127363,,,,,,,
0,3750256,,0.347115,,,,,,
1,5000275,,0.228784,,,,,,
2,6250245,,0.149954,,,,,,
3,7500277,,0.0983791,,,,,,
4,8750251,,0.0631831,,,,,,
5,10000272,,0.0411008,,,,,,
6,11250262,,0.0258033,,,,,,
7,12500265,,0.0160396,,,,,,
0,625166,,,0.991233,,,,,
1,1875155,,,0.342673,,,,,
2,3125164,,,0.145544,,,,,
3,4375154,,,0.0615929,,,,,
4,5625168,,,0.0247962,,,,,
0,871251,,,,0.00810991,,,,
1,744501,,,,0.0279235,,,,
2,532274,,,,0.0724592,,,,
3,389512,,,,0.171739,,,,
4,277218,,,,0.335008,,,,
5,225568,,,,0.461714,,,,
6,214930,,,,0.501436,,,,
7,213203,,,,0.509313,,,,
8,212806,,,,0.510108,,,,
9,212606,,,,0.510129,,,,
10,212606,,,,0.510129,,,,
0,212606,,,,,0.510129,,,
1,212606,,,,,0.510129,,,
2,219616,,,,,0.499337,,,
3,242316,,,,,0.472739,,,
4,290930,,,,,0.424154,,,
5,369725,,,,,0.354493,,,
6,474309,,,,,0.270914,,,
7,587279,,,,,0.187376,,,
8,709187,,,,,0.11427,,,
9,784404,,,,,0.063904,,,
10,830861,,,,,0.0325563,,,
11,855320,,,,,0.0167075,,,
12,865472,,,,,0.0108026,,,
13,869634,,,,,0.0088414,,,
14,870977,,,,,0.00823713,,,
0,220378,,,,,,0.503535,,
1,232882,,,,,,0.503535,,
2,245386,,,,,,0.503535,,
3,257890,,,,,,0.499698,,
4,270386,,,,,,0.499698,,
5,282882,,,,,,0.3733,,
6,295386,,,,,,0.24387,,
7,307890,,,,,,0.179203,,
8,320386,,,,,,0.137847,,
0,220378,,,,,,,0.503535,
0,872471,,,,,,,,0.0176828
