,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.997535,,,,,,,
1,137534,0.995891,,,,,,,
2,262534,0.990616,,,,,,,
3,387534,0.982691,,,,,,,
4,512534,0.975056,,,,,,,
5,637534,0.968907,,,,,,,
6,762534,0.964877,,,,,,,
7,887534,0.962492,,,,,,,
0,3750275,,0.571557,,,,,,
1,5000280,,0.38277,,,,,,
2,6250275,,0.229795,,,,,,
3,7500274,,0.157985,,,,,,
4,8750263,,0.0928562,,,,,,
5,10000276,,0.0587939,,,,,,
6,11250275,,0.0403976,,,,,,
7,12500270,,0.0257389,,,,,,
0,625172,,,0.993506,,,,,
1,1875166,,,0.542611,,,,,
2,3125170,,,0.212326,,,,,
3,4375163,,,0.0901524,,,,,
4,5625157,,,0.0376408,,,,,
0,1267562,,,,0.0,,,,
1,1137230,,,,0.193877,,,,
2,880815,,,,0.449569,,,,
3,704637,,,,0.649251,,,,
4,504111,,,,0.834354,,,,
5,315511,,,,0.954433,,,,
6,212092,,,,0.988045,,,,
7,188976,,,,0.991093,,,,
8,188852,,,,0.991093,,,,
9,188852,,,,0.991093,,,,
10,188852,,,,0.991093,,,,
0,188852,,,,,0.991093,,,
1,188852,,,,,0.991093,,,
2,189276,,,,,0.99059,,,
3,191716,,,,,0.987011,,,
4,200012,,,,,0.974367,,,
5,221764,,,,,0.94383,,,
6,270850,,,,,0.880583,,,
7,364609,,,,,0.771054,,,
8,513881,,,,,0.612114,,,
9,709264,,,,,0.423645,,,
10,910434,,,,,0.243393,,,
11,1126420,,,,,0.106402,,,
12,1218718,,,,,0.0345924,,,
13,1255917,,,,,0.00784626,,,
14,1265775,,,,,0.00113983,,,
0,189141,,,,,,0.990881,,
1,201645,,,,,,0.990881,,
2,214141,,,,,,0.990881,,
3,226645,,,,,,0.990245,,
4,239141,,,,,,0.990245,,
5,251645,,,,,,0.978423,,
6,264141,,,,,,0.964718,,
7,276645,,,,,,0.957959,,
8,289141,,,,,,0.953108,,
0,189141,,,,,,,0.990881,
0,1267549,,,,,,,,0.000132538
