,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.999882,,,,,,,
1,137534,0.718042,,,,,,,
2,262534,0.596381,,,,,,,
3,387534,0.526267,,,,,,,
0,3750275,,0.305265,,,,,,
1,5000280,,0.204394,,,,,,
2,6250275,,0.135237,,,,,,
3,7500274,,0.0912424,,,,,,
4,8750263,,0.0608528,,,,,,
5,10000276,,0.0414618,,,,,,
6,11250275,,0.0275479,,,,,,
7,12500270,,0.018434,,,,,,
0,625172,,,0.99523,,,,,
1,1875166,,,0.314423,,,,,
2,3125170,,,0.142186,,,,,
3,4375163,,,0.0625607,,,,,
4,5625157,,,0.0289025,,,,,
0,1267562,,,,0.000147236,,,,
1,1137230,,,,0.000147236,,,,
2,880815,,,,0.00104538,,,,
3,704637,,,,0.00583056,,,,
4,504111,,,,0.0240143,,,,
5,315511,,,,0.108572,,,,
6,212092,,,,0.323449,,,,
7,188976,,,,0.439663,,,,
8,188852,,,,0.440502,,,,
9,188852,,,,0.440502,,,,
10,188852,,,,0.440502,,,,
0,188852,,,,,0.440502,,,
1,188852,,,,,0.440502,,,
2,189276,,,,,0.44009,,,
3,191716,,,,,0.438175,,,
4,200012,,,,,0.433331,,,
5,221764,,,,,0.423599,,,
6,270850,,,,,0.403398,,,
7,364609,,,,,0.365632,,,
8,513881,,,,,0.308946,,,
9,709264,,,,,0.230675,,,
10,910434,,,,,0.144483,,,
11,1126420,,,,,0.071071,,,
12,1218718,,,,,0.0263553,,,
13,1255917,,,,,0.00652257,,,
14,1265775,,,,,0.00123679,,,
0,189141,,,,,,0.44009,,
1,201645,,,,,,0.44009,,
2,214141,,,,,,0.44009,,
3,226645,,,,,,0.439398,,
4,239141,,,,,,0.439398,,
5,251645,,,,,,0.308342,,
6,264141,,,,,,0.16916,,
7,276645,,,,,,0.0952767,,
8,289141,,,,,,0.0483819,,
0,189141,,,,,,,0.44009,
0,1267549,,,,,,,,0.000412262
