,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.997996,,,,,,,
1,137534,0.989231,,,,,,,
2,262534,0.973396,,,,,,,
3,387534,0.965855,,,,,,,
4,512534,0.963239,,,,,,,
5,637534,0.962043,,,,,,,
6,762534,0.961792,,,,,,,
7,887534,0.961709,,,,,,,
0,3750257,,0.162543,,,,,,
1,5000247,,0.0909698,,,,,,
2,6250253,,0.0496452,,,,,,
3,7500235,,0.0272436,,,,,,
4,8750258,,0.0139418,,,,,,
5,10000256,,0.00748574,,,,,,
6,11250260,,0.00420203,,,,,,
7,12500257,,0.00211493,,,,,,
0,625155,,,0.915041,,,,,
1,1875158,,,0.176235,,,,,
2,3125158,,,0.053068,,,,,
3,4375154,,,0.0172812,,,,,
4,5625161,,,0.00520384,,,,,
0,555487,,,,0.0,,,,
1,538850,,,,0.0421873,,,,
2,509274,,,,0.080089,,,,
3,383498,,,,0.340476,,,,
4,326130,,,,0.429553,,,,
5,250852,,,,0.566384,,,,
6,235369,,,,0.587338,,,,
7,232388,,,,0.590372,,,,
8,232043,,,,0.5909,,,,
9,231610,,,,0.590984,,,,
10,231610,,,,0.590984,,,,
0,231610,,,,,0.590984,,,
1,231610,,,,,0.590984,,,
2,231984,,,,,0.590149,,,
3,233426,,,,,0.587116,,,
4,236874,,,,,0.580381,,,
5,256597,,,,,0.538027,,,
6,288614,,,,,0.474329,,,
7,329526,,,,,0.398636,,,
8,377850,,,,,0.314679,,,
9,442585,,,,,0.191624,,,
10,492726,,,,,0.103938,,,
11,525672,,,,,0.0468067,,,
12,560808,,,,,0.0191735,,,
13,550738,,,,,0.00679004,,,
14,553982,,,,,0.00239321,,,
0,453618,,,,,,0.128092,,
1,466130,,,,,,0.128092,,
2,478626,,,,,,0.128092,,
3,491130,,,,,,0.12787,,
4,503626,,,,,,0.12787,,
5,516122,,,,,,0.122972,,
6,528626,,,,,,0.118659,,
7,541130,,,,,,0.116432,,
8,553626,,,,,,0.114958,,
0,453618,,,,,,,0.128092,
0,555580,,,,,,,,0.00055656
