,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,
1,137534,0.996091,,,,,,,
2,262534,0.985123,,,,,,,
3,387534,0.97542,,,,,,,
4,512534,0.968912,,,,,,,
5,637534,0.965371,,,,,,,
6,762534,0.962819,,,,,,,
7,887534,0.962175,,,,,,,
0,3750256,,0.349,,,,,,
1,5000275,,0.231272,,,,,,
2,6250245,,0.150034,,,,,,
3,7500277,,0.0992182,,,,,,
4,8750251,,0.0631639,,,,,,
5,10000272,,0.0395263,,,,,,
6,11250262,,0.025776,,,,,,
7,12500265,,0.0163256,,,,,,
0,625166,,,0.989354,,,,,
1,1875155,,,0.337112,,,,,
2,3125164,,,0.144079,,,,,
3,4375154,,,0.0618073,,,,,
4,5625168,,,0.0246493,,,,,
0,871251,,,,0.0,,,,
1,744501,,,,0.982456,,,,
2,532274,,,,0.984778,,,,
3,389512,,,,0.988089,,,,
4,277218,,,,0.991147,,,,
5,225568,,,,0.992734,,,,
6,214930,,,,0.992826,,,,
7,213203,,,,0.992826,,,,
8,212806,,,,0.992826,,,,
9,212606,,,,0.992826,,,,
10,212606,,,,0.992826,,,,
0,212606,,,,,0.992826,,,
1,212606,,,,,0.992826,,,
2,219616,,,,,0.961968,,,
3,242316,,,,,0.875581,,,
4,290930,,,,,0.748356,,,
5,369725,,,,,0.588112,,,
6,474309,,,,,0.41828,,,
7,587279,,,,,0.26636,,,
8,709187,,,,,0.147551,,,
9,784404,,,,,0.0712808,,,
10,830861,,,,,0.0292021,,,
11,855320,,,,,0.00995631,,,
12,865472,,,,,0.00303518,,,
13,869634,,,,,0.000735801,,,
14,870977,,,,,0.000137963,,,
0,220378,,,,,,0.985238,,
1,232882,,,,,,0.985238,,
2,245386,,,,,,0.985238,,
3,257890,,,,,,0.9851,,
4,270386,,,,,,0.9851,,
5,282882,,,,,,0.972913,,
6,295386,,,,,,0.960014,,
7,307890,,,,,,0.952771,,
8,320386,,,,,,0.948471,,
0,220378,,,,,,,0.985238,
0,872471,,,,,,,,0.00997931
