,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.999164,,,,,,,
1,137534,0.994982,,,,,,,
2,262534,0.98188,,,,,,,
3,387534,0.968847,,,,,,,
4,512534,0.96139,,,,,,,
5,637534,0.957069,,,,,,,
6,762534,0.955187,,,,,,,
7,887534,0.953967,,,,,,,
0,3750256,,0.278461,,,,,,
1,5000275,,0.179879,,,,,,
2,6250245,,0.115831,,,,,,
3,7500277,,0.0742238,,,,,,
4,8750251,,0.0461024,,,,,,
5,10000272,,0.0289229,,,,,,
6,11250262,,0.0186779,,,,,,
7,12500265,,0.0113252,,,,,,
0,625166,,,0.987281,,,,,
1,1875155,,,0.282399,,,,,
2,3125164,,,0.119803,,,,,
3,4375154,,,0.049831,,,,,
4,5625168,,,0.0194794,,,,,
0,871251,,,,0.0,,,,
1,744501,,,,0.255671,,,,
2,532274,,,,0.575809,,,,
3,389512,,,,0.770812,,,,
4,277218,,,,0.882322,,,,
5,225568,,,,0.921002,,,,
6,214930,,,,0.925811,,,,
7,213203,,,,0.926717,,,,
8,212806,,,,0.926752,,,,
9,212606,,,,0.926752,,,,
10,212606,,,,0.926752,,,,
0,212606,,,,,0.926752,,,
1,212606,,,,,0.926752,,,
2,219616,,,,,0.917065,,,
3,242316,,,,,0.874168,,,
4,290930,,,,,0.784159,,,
5,369725,,,,,0.650765,,,
6,474309,,,,,0.488797,,,
7,587279,,,,,0.326376,,,
8,709187,,,,,0.188138,,,
9,784404,,,,,0.0955849,,,
10,830861,,,,,0.0409799,,,
11,855320,,,,,0.0146008,,,
12,865472,,,,,0.00466948,,,
13,869634,,,,,0.00104541,,,
14,870977,,,,,0.000209081,,,
0,220378,,,,,,0.917796,,
1,232882,,,,,,0.917796,,
2,245386,,,,,,0.917796,,
3,257890,,,,,,0.915949,,
4,270386,,,,,,0.915949,,
5,282882,,,,,,0.880789,,
6,295386,,,,,,0.842004,,
7,307890,,,,,,0.822072,,
8,320386,,,,,,0.80883,,
0,220378,,,,,,,0.917796,
0,872471,,,,,,,,0.00770115
