,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.982797,,,,,,,
1,137534,0.74671,,,,,,,
2,262534,0.721553,,,,,,,
0,3750257,,0.162715,,,,,,
1,5000247,,0.0900564,,,,,,
2,6250253,,0.049102,,,,,,
3,7500235,,0.029003,,,,,,
4,8750258,,0.0147609,,,,,,
5,10000256,,0.00795315,,,,,,
6,11250260,,0.00440881,,,,,,
7,12500257,,0.00242052,,,,,,
0,625155,,,0.93752,,,,,
1,1875158,,,0.174559,,,,,
2,3125158,,,0.0547427,,,,,
3,4375154,,,0.0161656,,,,,
4,5625161,,,0.00568391,,,,,
0,555487,,,,0.000432236,,,,
1,538850,,,,0.402974,,,,
2,509274,,,,0.407728,,,,
3,383498,,,,0.623868,,,,
4,326130,,,,0.666811,,,,
5,250852,,,,0.718895,,,,
6,235369,,,,0.744419,,,,
7,232388,,,,0.750167,,,,
8,232043,,,,0.751378,,,,
9,231610,,,,0.751378,,,,
10,231610,,,,0.751378,,,,
0,231610,,,,,0.751378,,,
1,231610,,,,,0.751378,,,
2,231984,,,,,0.745564,,,
3,233426,,,,,0.728361,,,
4,236874,,,,,0.700006,,,
5,256597,,,,,0.621339,,,
6,288614,,,,,0.514491,,,
7,329526,,,,,0.397592,,,
8,377850,,,,,0.282791,,,
9,442585,,,,,0.170409,,,
10,492726,,,,,0.0889326,,,
11,525672,,,,,0.0395064,,,
12,560808,,,,,0.0160144,,,
13,550738,,,,,0.00527328,,,
14,553982,,,,,0.00185862,,,
0,453618,,,,,,0.435694,,
1,466130,,,,,,0.435694,,
2,478626,,,,,,0.435694,,
3,491130,,,,,,0.43524,,
4,503626,,,,,,0.43524,,
5,516122,,,,,,0.427006,,
6,528626,,,,,,0.418253,,
7,541130,,,,,,0.409976,,
8,553626,,,,,,0.40494,,
0,453618,,,,,,,0.435694,
0,555580,,,,,,,,0.00138316
