,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.997515,,,,,,,
1,137534,0.214663,,,,,,,
2,262534,0.118827,,,,,,,
0,3750256,,0.253109,,,,,,
1,5000275,,0.160806,,,,,,
2,6250245,,0.102535,,,,,,
3,7500277,,0.0632509,,,,,,
4,8750251,,0.0412027,,,,,,
5,10000272,,0.026462,,,,,,
6,11250262,,0.0161875,,,,,,
7,12500265,,0.0105261,,,,,,
0,625166,,,0.989736,,,,,
1,1875155,,,0.264211,,,,,
2,3125164,,,0.10654,,,,,
3,4375154,,,0.0457319,,,,,
4,5625168,,,0.0174876,,,,,
0,871251,,,,1.04842e-05,,,,
1,744501,,,,1.04842e-05,,,,
2,532274,,,,4.19366e-05,,,,
3,389512,,,,0.000241136,,,,
4,277218,,,,0.00135246,,,,
5,225568,,,,0.00676228,,,,
6,214930,,,,0.0222369,,,,
7,213203,,,,0.0616993,,,,
8,212806,,,,0.139114,,,,
9,212606,,,,0.167673,,,,
10,212606,,,,0.167673,,,,
0,212606,,,,,0.167673,,,
1,212606,,,,,0.167673,,,
2,219616,,,,,0.167663,,,
3,242316,,,,,0.167652,,,
4,290930,,,,,0.167348,,,
5,369725,,,,,0.166237,,,
6,474309,,,,,0.164329,,,
7,587279,,,,,0.160208,,,
8,709187,,,,,0.153163,,,
9,784404,,,,,0.141966,,,
10,830861,,,,,0.0992955,,,
11,855320,,,,,0.0792183,,,
12,865472,,,,,0.0520014,,,
13,869634,,,,,0.0171835,,,
14,870977,,,,,0.00162504,,,
0,220378,,,,,,0.167453,,
1,232882,,,,,,0.167453,,
2,245386,,,,,,0.167453,,
3,257890,,,,,,0.167264,,
4,270386,,,,,,0.167264,,
5,282882,,,,,,0.111992,,
6,295386,,,,,,0.0594976,,
7,307890,,,,,,0.0334025,,
8,320386,,,,,,0.0171626,,
0,220378,,,,,,,0.167453,
0,872471,,,,,,,,0.000146778
